variable,dictionaryID,dimensionID,Type,languageCode,dictionary,dimension,section,subSection,heading,Subheading,word,
c9.243,9,243,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Centrical Dimensions,,,Limit,
c9.244,9,244,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Special Dimensions,,,Front,
c9.245,9,245,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Special Dimensions,,,Rear,
c9.246,9,246,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Special Dimensions,,,Laterality,
c9.247,9,247,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Special Dimensions,,,Contraposition,
c9.248,9,248,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Special Dimensions,,,Dextrality,
c9.249,9,249,Wordcount,eng,Roget's Thesaurus,Related to Space,Dimensions,Special Dimensions,,,Sinistrality,
c9.250,9,250,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,General Form,,,Form,
c9.251,9,251,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,General Form,,,Amorphism,
c9.252,9,252,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,General Form,,,Symmetry,
c9.253,9,253,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,General Form,,,Distortion,
c9.254,9,254,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Special Form,,,Angularity,
c9.255,9,255,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Special Form,,,Curvature,
c9.256,9,256,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Special Form,,,Straightness,
c9.257,9,257,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Special Form,,,Circularity,
c9.258,9,258,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Special Form,,,Convolution,
c9.259,9,259,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Special Form,,,Rotundity,
c9.260,9,260,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Convexity,
c9.261,9,261,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Flatness,
c9.262,9,262,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Concavity,
c9.263,9,263,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Sharpness,
c9.264,9,264,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Bluntness,
c9.265,9,265,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Smoothness,
c9.266,9,266,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Roughness,
c9.267,9,267,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Notch,
c9.268,9,268,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Fold,
c9.269,9,269,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Furrow,
c9.270,9,270,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Opening,
c9.271,9,271,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Closure,
c9.272,9,272,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Perforator,
c9.273,9,273,Wordcount,eng,Roget's Thesaurus,Related to Space,Form,Superficial Form,,,Stopper,
c9.274,9,274,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion in General,,,Motion,
c9.275,9,275,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion in General,,,Quiescence,
c9.276,9,276,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion in General,,,Journey,
c9.277,9,277,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion in General,,,Navigation,
c9.278,9,278,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion in General,,,Traveler,
c9.279,9,279,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion in General,,,Mariner,
c9.280,9,280,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion in General,,,Transference,
c9.281,9,281,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion in General,,,Carrier,
c9.282,9,282,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion in General,,,Vehicle,
c9.283,9,283,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion in General,,,Ship,
c9.284,9,284,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Degrees of Motion,,,Velocity,
c9.285,9,285,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Degrees of Motion,,,Slowness,
c9.286,9,286,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Force,,,Impulse,
c9.287,9,287,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Force,,,Recoil,
c9.288,9,288,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Direction,
c9.289,9,289,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Deviation,
c9.290,9,290,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Precession,
c9.291,9,291,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Sequence,
c9.292,9,292,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Progression,
c9.293,9,293,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Regression,
c9.294,9,294,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Propulsion,
c9.295,9,295,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Traction,
c9.296,9,296,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Approach,
c9.297,9,297,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Recession,
c9.298,9,298,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Attraction,
c9.299,9,299,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Repulsion,
c9.300,9,300,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Convergence,
c9.301,9,301,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Divergence,
c9.302,9,302,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Arrival,
c9.303,9,303,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Departure,
c9.304,9,304,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Ingress,
c9.305,9,305,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Egress,
c9.306,9,306,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Reception,
c9.307,9,307,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Ejection,
c9.308,9,308,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Food,
c9.309,9,309,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Excretion,
c9.310,9,310,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Insertion,
c9.311,9,311,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Extraction,
c9.312,9,312,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Passage,
c9.313,9,313,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Transcursion,
c9.314,9,314,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Shortcoming,
c9.315,9,315,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Ascent,
c9.316,9,316,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Descent,
c9.317,9,317,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Elevation,
c9.318,9,318,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Depression,
c9.319,9,319,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Leap,
c9.320,9,320,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Plunge,
c9.321,9,321,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Circuition,
c9.322,9,322,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Rotation,
c9.323,9,323,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Evolution,
c9.324,9,324,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Oscillation,
c9.325,9,325,Wordcount,eng,Roget's Thesaurus,Related to Space,Motion,Motion with Direction,,,Agitation,
c9.326,9,326,Wordcount,eng,Roget's Thesaurus,Related to Matter,Matter In General,Teriality,,,,
c9.327,9,327,Wordcount,eng,Roget's Thesaurus,Related to Matter,Matter In General,Materiality,,,,
c9.328,9,328,Wordcount,eng,Roget's Thesaurus,Related to Matter,Matter In General,Rld,,,,
c9.329,9,329,Wordcount,eng,Roget's Thesaurus,Related to Matter,Matter In General,Avity,,,,
c9.330,9,330,Wordcount,eng,Roget's Thesaurus,Related to Matter,Matter In General,Vity,,,,
c9.331,9,331,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Solid Matter,,,Density,
c9.332,9,332,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Solid Matter,,,Rarity,
c9.333,9,333,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Solid Matter,,,Hardness,
c9.334,9,334,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Solid Matter,,,Softness,
c9.335,9,335,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Solid Matter,,,Elasticity,
c9.336,9,336,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Solid Matter,,,Inelasticity,
c9.337,9,337,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Solid Matter,,,Tenacity,
c9.338,9,338,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Solid Matter,,,Brittleness,
c9.339,9,339,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Solid Matter,,,Texture,
c9.340,9,340,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Solid Matter,,,Pulverulence,
c9.341,9,341,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Solid Matter,,,Friction,
c9.342,9,342,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Solid Matter,,,Lubrication,
c9.343,9,343,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Fluides in General,,Fluidity,
c9.344,9,344,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Fluides in General,,Gaseity,
c9.345,9,345,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Fluides in General,,Liquefaction,
c9.346,9,346,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Fluides in General,,Vaporization,
c9.347,9,347,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Specific Fluids,,Water,
c9.348,9,348,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Specific Fluids,,Air,
c9.349,9,349,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Specific Fluids,,Moisture,
c9.350,9,350,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Specific Fluids,,Dryness,
c9.351,9,351,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Specific Fluids,,Ocean,
c9.352,9,352,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Specific Fluids,,Land,
c9.353,9,353,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Specific Fluids,,Gulf Lake,
c9.354,9,354,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Specific Fluids,,Plain,
c9.355,9,355,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Specific Fluids,,Marsh,
c9.356,9,356,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Fluids in Motion,,Island,
c9.357,9,357,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Fluids in Motion,,Stream,
c9.358,9,358,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Fluids in Motion,,River,
c9.359,9,359,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Fluids in Motion,,Wind,
c9.360,9,360,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Fluids in Motion,,Conduit,
c9.361,9,361,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Fluid Matter,Fluids in Motion,,Airpipe,
c9.362,9,362,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Imperfect Fluids,,,Semiliquidity,
c9.363,9,363,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Imperfect Fluids,,,Bubble,
c9.364,9,364,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Imperfect Fluids,,,Pulpiness,
c9.365,9,365,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Imperfect Fluids,,,Unctuousness,
c9.366,9,366,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Imperfect Fluids,,,Oil,
c9.367,9,367,Wordcount,eng,Roget's Thesaurus,Related to Matter,Inorganic Matter,Imperfect Fluids,,,Resin,
c9.368,9,368,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Vitality in General,,Organization,
c9.369,9,369,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Vitality in General,,Inorganization,
c9.370,9,370,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Vitality in General,,Life,
c9.371,9,371,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Vitality in General,,Death,
c9.372,9,372,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Vitality in General,,Killing,
c9.373,9,373,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Vitality in General,,Corpse,
c9.374,9,374,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Vitality in General,,Interment,
c9.375,9,375,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Special Vitality,,Animality,
c9.376,9,376,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Special Vitality,,Vegetability,
c9.377,9,377,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Special Vitality,,Animal,
c9.378,9,378,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Special Vitality,,Vegetable,
c9.379,9,379,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Special Vitality,,Zoology,
c9.380,9,380,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Special Vitality,,Botany,
c9.381,9,381,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Special Vitality,,Husbandry,
c9.382,9,382,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Special Vitality,,Agriculture,
c9.383,9,383,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Special Vitality,,Mankind,
c9.384,9,384,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Special Vitality,,Man,
c9.385,9,385,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Special Vitality,,Woman,
c9.386,9,386,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Vitality,Special Vitality,,Sexuality,
c9.387,9,387,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sensation in General,,Sensibility,
c9.388,9,388,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sensation in General,,Insensibility,
c9.389,9,389,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sensation in General,,Pleasure,
c9.390,9,390,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sensation in General,,Pain,
c9.391,9,391,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,touch,,touch,
c9.392,9,392,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,touch,,Of touch,
c9.393,9,393,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,touch,,Numbness,
c9.394,9,394,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Heat,,Heat,
c9.395,9,395,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Heat,,Cold,
c9.396,9,396,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Heat,,Calefaction,
c9.397,9,397,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Heat,,Refrigeration,
c9.398,9,398,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Heat,,Furnace,
c9.399,9,399,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Heat,,Refrigerator,
c9.400,9,400,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Heat,,Fuel,
c9.401,9,401,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Heat,,Extinction,
c9.402,9,402,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Heat,,Thermometer,
c9.403,9,403,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Taste,,Taste,
c9.404,9,404,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Taste,,Insipidity,
c9.405,9,405,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Taste,,Pungency,
c9.406,9,406,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Taste,,Saltiness,
c9.407,9,407,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Taste,,Bitterness,
c9.408,9,408,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Taste,,Condiment,
c9.409,9,409,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Taste,,Savoriness,
c9.410,9,410,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Taste,,Unsavoriness,
c9.411,9,411,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Taste,,Sweetness,
c9.412,9,412,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Taste,,Sourness,
c9.413,9,413,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Odor,,Odor,
c9.414,9,414,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Odor,,Inodorousness,
c9.415,9,415,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Odor,,Fragrance,
c9.416,9,416,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Odor,,Fetor,
c9.417,9,417,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Odor,,Acridity,
c9.418,9,418,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Sound in General,Sound,
c9.419,9,419,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Sound in General,Silence,
c9.420,9,420,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Sound in General,Loudness,
c9.421,9,421,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Sound in General,Faintness,
c9.422,9,422,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Specific Sounds,Snap,
c9.423,9,423,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Specific Sounds,Roll,
c9.424,9,424,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Specific Sounds,Resonance,
c9.425,9,425,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Specific Sounds,Nonresonance,
c9.426,9,426,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Specific Sounds,Sibilation,
c9.427,9,427,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Specific Sounds,Stridor,
c9.428,9,428,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Specific Sounds,Cry,
c9.429,9,429,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Specific Sounds,Ululation,
c9.430,9,430,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Musical Sounds,Melody Concord,
c9.431,9,431,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Musical Sounds,Discord,
c9.432,9,432,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Musical Sounds,Music,
c9.433,9,433,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Musical Sounds,Musician,
c9.434,9,434,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Musical Sounds,Instruments,
c9.435,9,435,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Perception of Sound,Hearing,
c9.436,9,436,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Sound,Perception of Sound,Deafness,
c9.437,9,437,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Light in General,Light,
c9.438,9,438,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Light in General,Darkness,
c9.439,9,439,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Light in General,Dimness,
c9.440,9,440,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Light in General,Luminary,
c9.441,9,441,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Light in General,Shade,
c9.442,9,442,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Light in General,Transparency,
c9.443,9,443,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Light in General,Opacity,
c9.444,9,444,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Light in General,Turbidity,
c9.445,9,445,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Light in General,Semitransparency,
c9.446,9,446,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Color,
c9.447,9,447,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Achromatism,
c9.448,9,448,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Whiteness,
c9.449,9,449,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Blackness,
c9.450,9,450,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Gray,
c9.451,9,451,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Brown,
c9.452,9,452,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Redness,
c9.453,9,453,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Greenness,
c9.454,9,454,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Yellowness,
c9.455,9,455,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Purple,
c9.456,9,456,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Blueness,
c9.457,9,457,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Orange,
c9.458,9,458,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Specific Light,Variegation,
c9.459,9,459,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Perceptions of Light,Vision,
c9.460,9,460,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Perceptions of Light,Blindness,
c9.461,9,461,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Perceptions of Light,Dimsightedness,
c9.462,9,462,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Perceptions of Light,Spectator,
c9.463,9,463,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Perceptions of Light,Instruments,
c9.464,9,464,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Perceptions of Light,Visibility,
c9.465,9,465,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Perceptions of Light,Invisibility,
c9.466,9,466,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Perceptions of Light,Appearance,
c9.467,9,467,Wordcount,eng,Roget's Thesaurus,Related to Matter,Organic Matter,Sensation,Light,Perceptions of Light,Disappearance,
c9.468,9,468,Wordcount,eng,Roget's Thesaurus,Intellectual Faculties,Formation Of Ideas,Operations of Intellect in General,,,Intellect,
c9.469,9,469,Wordcount,eng,Roget's Thesaurus,Intellectual Faculties,Formation Of Ideas,Operations of Intellect in General,,,Non-Intellect,
c9.470,9,470,Wordcount,eng,Roget's Thesaurus,Intellectual Faculties,Formation Of Ideas,Operations of Intellect in General,,,Thought,
c9.471,9,471,Wordcount,eng,Roget's Thesaurus,Intellectual Faculties,Formation Of Ideas,Operations of Intellect in General,,,Incogitancy,
c9.472,9,472,Wordcount,eng,Roget's Thesaurus,Intellectual Faculties,Formation Of Ideas,Operations of Intellect in General,,,Idea,
c9.473,9,473,Wordcount,eng,Roget's Thesaurus,Intellectual Faculties,Formation Of Ideas,Operations of Intellect in General,,,topic,
c9.474,9,474,Wordcount,eng,Roget's Thesaurus,Intellectual Faculties,Formation Of Ideas,Precursory Conditions and Operations,,,Curiosity,
c9.475,9,475,Wordcount,eng,Roget's Thesaurus,Intellectual Faculties,Formation Of Ideas,Precursory Conditions and Operations,,,Incuriosity,
