Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,Category,SubCategory,Level1,Level2,Level3,
c9.234,9,234,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Lining,,
c9.235,9,235,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Clothing,,
c9.236,9,236,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Divestment,,
c9.237,9,237,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Circumjacence,,
c9.238,9,238,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Interposition,,
c9.239,9,239,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Circumscription,,
c9.240,9,240,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Outline,,
c9.241,9,241,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Edge,,
c9.242,9,242,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Inclosure,,
c9.243,9,243,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Centrical Dimensions,Limit,,
c9.244,9,244,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Special Dimensions,Front,,
c9.245,9,245,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Special Dimensions,Rear,,
c9.246,9,246,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Special Dimensions,Laterality,,
c9.247,9,247,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Special Dimensions,Contraposition,,
c9.248,9,248,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Special Dimensions,Dextrality,,
c9.249,9,249,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Dimensions,Special Dimensions,Sinistrality,,
c9.250,9,250,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,General Form,Form,,
c9.251,9,251,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,General Form,Amorphism,,
c9.252,9,252,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,General Form,Symmetry,,
c9.253,9,253,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,General Form,Distortion,,
c9.254,9,254,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Special Form,Angularity,,
c9.255,9,255,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Special Form,Curvature,,
c9.256,9,256,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Special Form,Straightness,,
c9.257,9,257,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Special Form,Circularity,,
c9.258,9,258,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Special Form,Convolution,,
c9.259,9,259,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Special Form,Rotundity,,
c9.260,9,260,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Convexity,,
c9.261,9,261,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Flatness,,
c9.262,9,262,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Concavity,,
c9.263,9,263,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Sharpness,,
c9.264,9,264,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Bluntness,,
c9.265,9,265,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Smoothness,,
c9.266,9,266,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Roughness,,
c9.267,9,267,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Notch,,
c9.268,9,268,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Fold,,
c9.269,9,269,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Furrow,,
c9.270,9,270,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Opening,,
c9.271,9,271,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Closure,,
c9.272,9,272,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Perforator,,
c9.273,9,273,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Form,Superficial Form,Stopper,,
c9.274,9,274,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion In General,Motion,,
c9.275,9,275,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion In General,Quiescence,,
c9.276,9,276,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion In General,Journey,,
c9.277,9,277,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion In General,Navigation,,
c9.278,9,278,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion In General,Traveler,,
c9.279,9,279,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion In General,Mariner,,
c9.280,9,280,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion In General,Transference,,
c9.281,9,281,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion In General,Carrier,,
c9.282,9,282,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion In General,Vehicle,,
c9.283,9,283,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion In General,Ship,,
c9.284,9,284,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Degrees Of Motion,Velocity,,
c9.285,9,285,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Degrees Of Motion,Slowness,,
c9.286,9,286,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Force,Impulse,,
c9.287,9,287,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Force,Recoil,,
c9.288,9,288,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Direction,,
c9.289,9,289,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Deviation,,
c9.290,9,290,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Precession,,
c9.291,9,291,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Sequence,,
c9.292,9,292,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Progression,,
c9.293,9,293,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Regression,,
c9.294,9,294,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Propulsion,,
c9.295,9,295,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Traction,,
c9.296,9,296,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Approach,,
c9.297,9,297,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Recession,,
c9.298,9,298,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Attraction,,
c9.299,9,299,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Repulsion,,
c9.300,9,300,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Convergence,,
c9.301,9,301,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Divergence,,
c9.302,9,302,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Arrival,,
c9.303,9,303,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Departure,,
c9.304,9,304,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Ingress,,
c9.305,9,305,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Egress,,
c9.306,9,306,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Reception,,
c9.307,9,307,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Ejection,,
c9.308,9,308,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Food,,
c9.309,9,309,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Excretion,,
c9.310,9,310,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Insertion,,
c9.311,9,311,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Extraction,,
c9.312,9,312,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Passage,,
c9.313,9,313,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Transcursion,,
c9.314,9,314,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Shortcoming,,
c9.315,9,315,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Ascent,,
c9.316,9,316,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Descent,,
c9.317,9,317,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Elevation,,
c9.318,9,318,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Depression,,
c9.319,9,319,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Leap,,
c9.320,9,320,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Plunge,,
c9.321,9,321,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Circuition,,
c9.322,9,322,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Rotation,,
c9.323,9,323,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Evolution,,
c9.324,9,324,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Oscillation,,
c9.325,9,325,WORDCOUNT,eng,Roget's Thesaurus, Related To Space,Motion,Motion With Direction,Agitation,,
c9.326,9,326,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Matter In General,Materiality,,,
c9.327,9,327,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Matter In General,Immateriality,,,
c9.328,9,328,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Matter In General,World,,,
c9.329,9,329,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Matter In General,Gravity,,,
c9.330,9,330,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Matter In General,Levity,,,
c9.331,9,331,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Solid Matter,Density,,
c9.332,9,332,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Solid Matter,Rarity,,
c9.333,9,333,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Solid Matter,Hardness,,
c9.334,9,334,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Solid Matter,Softness,,
c9.335,9,335,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Solid Matter,Elasticity,,
c9.336,9,336,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Solid Matter,Inelasticity,,
c9.337,9,337,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Solid Matter,Tenacity,,
c9.338,9,338,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Solid Matter,Brittleness,,
c9.339,9,339,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Solid Matter,Texture,,
c9.340,9,340,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Solid Matter,Pulverulence,,
c9.341,9,341,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Solid Matter,Friction,,
c9.342,9,342,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Solid Matter,Lubrication,,
c9.343,9,343,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Fluides In General,Fluidity,
c9.344,9,344,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Fluides In General,Gaseity,
c9.345,9,345,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Fluides In General,Liquefaction,
c9.346,9,346,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Fluides In General,Vaporization,
c9.347,9,347,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Specific Fluids,Water,
c9.348,9,348,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Specific Fluids,Air,
c9.349,9,349,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Specific Fluids,Moisture,
c9.350,9,350,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Specific Fluids,Dryness,
c9.351,9,351,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Specific Fluids,Ocean,
c9.352,9,352,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Specific Fluids,Land,
c9.353,9,353,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Specific Fluids,Gulf/Lake,
c9.354,9,354,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Specific Fluids,Plain,
c9.355,9,355,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Specific Fluids,Marsh,
c9.356,9,356,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Fluids In Motion,Island,
c9.357,9,357,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Fluids In Motion,Stream,
c9.358,9,358,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Fluids In Motion,River,
c9.359,9,359,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Fluids In Motion,Wind,
c9.360,9,360,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Fluids In Motion,Conduit,
c9.361,9,361,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Fluid Matter,Fluids In Motion,Airpipe,
c9.362,9,362,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Imperfect Fluids,Semiliquidity,,
c9.363,9,363,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Imperfect Fluids,Bubble,,
c9.364,9,364,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Imperfect Fluids,Pulpiness,,
c9.365,9,365,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Imperfect Fluids,Unctuousness,,
c9.366,9,366,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Imperfect Fluids,Oil,,
c9.367,9,367,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Inorganic Matter,Imperfect Fluids,Resin,,
c9.368,9,368,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Vitality In General,Organization,
c9.369,9,369,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Vitality In General,Inorganization,
c9.370,9,370,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Vitality In General,Life,
c9.371,9,371,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Vitality In General,Death,
c9.372,9,372,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Vitality In General,Killing,
c9.373,9,373,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Vitality In General,Corpse,
c9.374,9,374,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Vitality In General,Interment,
c9.375,9,375,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Special Vitality,Animality,
c9.376,9,376,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Special Vitality,Vegetability,
c9.377,9,377,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Special Vitality,Animal,
c9.378,9,378,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Special Vitality,Vegetable,
c9.379,9,379,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Special Vitality,Zoology,
c9.380,9,380,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Special Vitality,Botany,
c9.381,9,381,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Special Vitality,Husbandry,
c9.382,9,382,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Special Vitality,Agriculture,
c9.383,9,383,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Special Vitality,Mankind,
c9.384,9,384,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Special Vitality,Man,
c9.385,9,385,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Special Vitality,Woman,
c9.386,9,386,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Vitality,Special Vitality,Sexuality,
c9.387,9,387,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sensation In General,Sensibility,
c9.388,9,388,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sensation In General,Insensibility,
c9.389,9,389,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sensation In General,Pleasure,
c9.390,9,390,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sensation In General,Pain,
c9.391,9,391,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Touch,Touch,
c9.392,9,392,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Touch,Of Touch,
c9.393,9,393,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Touch,Numbness,
c9.394,9,394,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Heat,Heat,
c9.395,9,395,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Heat,Cold,
c9.396,9,396,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Heat,Calefaction,
c9.397,9,397,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Heat,Refrigeration,
c9.398,9,398,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Heat,Furnace,
c9.399,9,399,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Heat,Refrigerator,
c9.400,9,400,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Heat,Fuel,
c9.401,9,401,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Heat,Extinction,
c9.402,9,402,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Heat,Thermometer,
c9.403,9,403,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Taste,Taste,
c9.404,9,404,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Taste,Insipidity,
c9.405,9,405,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Taste,Pungency,
c9.406,9,406,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Taste,Saltiness,
c9.407,9,407,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Taste,Bitterness,
c9.408,9,408,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Taste,Condiment,
c9.409,9,409,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Taste,Savoriness,
c9.410,9,410,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Taste,Unsavoriness,
c9.411,9,411,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Taste,Sweetness,
c9.412,9,412,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Taste,Sourness,
c9.413,9,413,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Odor,Odor,
c9.414,9,414,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Odor,Inodorousness,
c9.415,9,415,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Odor,Fragrance,
c9.416,9,416,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Odor,Fetor,
c9.417,9,417,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Odor,Acridity,
c9.418,9,418,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Sound In General,Sound
c9.419,9,419,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Sound In General,Silence
c9.420,9,420,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Sound In General,Loudness
c9.421,9,421,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Sound In General,Faintness
c9.422,9,422,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Specific Sounds,Snap
c9.423,9,423,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Specific Sounds,Roll
c9.424,9,424,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Specific Sounds,Resonance
c9.425,9,425,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Specific Sounds,Nonresonance
c9.426,9,426,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Specific Sounds,Sibilation
c9.427,9,427,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Specific Sounds,Stridor
c9.428,9,428,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Specific Sounds,Cry
c9.429,9,429,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Specific Sounds,Ululation
c9.430,9,430,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Musical Sounds,Melody
c9.431,9,431,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Musical Sounds,Discord
c9.432,9,432,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Musical Sounds,Music
c9.433,9,433,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Musical Sounds,Musician
c9.434,9,434,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Musical Sounds,Instruments
c9.435,9,435,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Perception Of Sound,Hearing
c9.436,9,436,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Sound,Perception Of Sound,Deafness
c9.437,9,437,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Light In General,Light
c9.438,9,438,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Light In General,Darkness
c9.439,9,439,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Light In General,Dimness
c9.440,9,440,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Light In General,Luminary
c9.441,9,441,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Light In General,Shade
c9.442,9,442,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Light In General,Transparency
c9.443,9,443,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Light In General,Opacity
c9.444,9,444,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Light In General,Turbidity
c9.445,9,445,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Light In General,Semitransparency
c9.446,9,446,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Color
c9.447,9,447,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Achromatism
c9.448,9,448,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Whiteness
c9.449,9,449,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Blackness
c9.450,9,450,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Gray
c9.451,9,451,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Brown
c9.452,9,452,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Redness
c9.453,9,453,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Greenness
c9.454,9,454,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Yellowness
c9.455,9,455,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Purple
c9.456,9,456,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Blueness
c9.457,9,457,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Orange
c9.458,9,458,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Specific Light,Variegation
c9.459,9,459,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Perceptions Of Light,Vision
c9.460,9,460,WORDCOUNT,eng,Roget's Thesaurus, Related To Matter,Organic Matter,Sensation,Light,Perceptions Of Light,Blindness
