Code,Topic
3928,Gemstones
615,Gender
433,Gender and Agriculture
3507,Gender and AIDS
617,Gender and Climate Change
3029,Gender and Disaster Risk Management
911,Gender and Economic Empowerment
618,Gender and Employment
619,Gender and Energy
3105,Gender and Growth
920,Gender and Health
919,Gender and Human Development
3025,Gender and Information and Communication Technologies
917,Gender and Infrastructure
923,Gender and Labor Market
915,Gender and Land
3027,Gender and Macroeconomic Policies
918,Gender and Mining
3936,Gender and Oil and Gas
4203,Gender and Rural Development
912,Gender and Skills
620,Gender and Transport
3028,Gender and Urban Development
934,Gender and Youth
2901,Gender Based Violence
2902,Gender Monitoring and Evaluation
1181,General Agreement on Trade in Services
3170,General Climate Themes
3194,General Meteorological Themes
1358,Generic Drugs
1855,Genetically Modified Organisms
2509,Genocide
663,Geographic Information Systems
1693,Geographic Targeting
1863,Geographical Indications of Origin
896,Geological Mapping and Databases
2286,Geological Survey
3147,Geomagnetic Storm
3148,Geophysical Event
3704,Geotechnical and Underground Work on Hydropower and Dams
530,Geothermal Energy
1873,Geothermal Law and Regulation
1447,Geriatrics
3174,Glacial Lake Outburst
2900,Global Gender Policy Frameworks
2634,Global Investment Promotion Best Practice Surveys
1546,Global Partnership for Education
4174,Global Road Safety Facility
2603,Global Value Chains Analysis and Mapping
2949,GNU General Public License
2936,Gold
3619,Good Manufacturing Practices
831,Governance
3104,Governance and Growth
557,Governance for Mining,
540,Governance for Oil and Gas,
834,Governance Indicators,
4197,Governance of Road Authorities,
1922,Governance Structures,
1385,Governance," and Regulation of Care"""
335,Government Bond Markets,
1882,Government Contract Management,
2012,Government Data Centres,
3060,Government Electronic Funds Transfer,
1112,Government Expenditure,
3780,Government Failures,
3564,Government Financing for Health,
2776,Government Hiring and Purchases,
558,Government Institutions for Mining,
541,Government Institutions for Oil and Gas,
352,Government Payments
957,Government Procurement
1675,Graduate Labour Market
1006,Gravity Irrigation
3813,Green Bonds
802,Green Cities
2642,Green Finance Mechanisms
476,Green Growth
2641,Green Industrial Zones
2674,Green Jobs
3821,Green Mortgage Finance
582,Greenhouse Gas Accounting
522,Grid Connected Electrification
3910,Grid Densification
3909,Grid Extension
3465,Grievance and Redress Mechanisms in Water Supply and Sanitation
736,Grievance Redress Mechanism
3158,Ground Movement
2972,Groundwater Conjunctive Use
3679,Groundwater Irrigation
156,Groundwater Management
3691,Groundwater Recharge
467,Growth Analytics
462,Growth and Lagging Regions
473,Growth Diagnostics
464,Growth in Fragile and Conflict States
1444,Growth Monitoring and Promotion
862,Growth Poles and Economic Zones
1091,Growth
3113,GTAP
3610,Gynecology
2402,Hackathons
4041,Hand Carts,
3437,Handpumps,
3540,Harm Reduction,
1708,Hazard Monitoring,
3021,Hazardous Waste Management,
1793,Hazardous Wastes,
993,Headworks,
3480,Health,
1674,Health and Safety Conditions,
2181,Health Basket Finance,
1607,Health Benefits,
3586,Health Care Managers,
1321,Health Care Performance Indicators,
628,Health Care Resource Allocation,
3490,Health Causes and Risk Factors,
1463,Health Education," and Communication"""
2165,Health Emergencies
2166,Health Emergency Preparedness and Disaster Response
1288,Health Equity
1319,Health Facilities Restructuring
1397,Health Facility Management
625,Health Financing
2155,Health Financing and Sustainability
3576,Health Financing System
626,Health Financing through General Taxation
2161,Health in All Policies
3580,Health Information System
3599,Health Infrastructure
1287,Health Insurance
3545,Health Insurance Regulation
3546,Health Insurer Competition
3590,Health Labor Market
973,Health Laws and Regulations
684,Health Management Information Systems
1464,Health of the Disabled
1401,Health Policy and Planning
1458,Health Promotion and Disease Prevention
1396,Health Provider Networks
1400,Health Referral Systems
1305,Health Services Delivery
1331,Health Technologies
3558,Health Technology Assessment
1333,Health Worker Migration
1332,Health Worker Performance and Incentives
1337,Health Worker Training and Education
631,Health Workforce
621,Health
1461,Healthy Lifestyles
1983,Healthy Oceans
1434,Heart Disease
3185,Heat Wave
453,Heavily Indebted Poor Countries
1424,Helminth Infections
2661,High Cholesterol
3963,High Voltage Alternating Current
3964,High Voltage Direct Current
4143,Highway Development and Management Model
3063,highway management system
1416,HIV and AIDS
3524,HIV Services
3530,HIV Testing
3520,HIV/AIDS  Costing
3519,HIV/AIDS  Effectiveness
1542,HIV/AIDS and Education
3497,HIV/AIDS and Multisector
3517,HIV/AIDS and Strategic Planning
3503,HIV/AIDS Epidemic Data and Analysis
3523,HIV/AIDS Evaluation
3498,HIV/AIDS Laws and Policies
3506,HIV/AIDS MARP
3535,HIV/AIDS Prevention
3522,HIV/AIDS Project Implementation
3533,HIV/AIDS Treatment Adherence
3532,HIV/AIDS Treatment Initiation
1391,HMIS Design
1392,HMIS Standards
3046,Homicide
3598,Hospital Accredation
3061,Hospital Information System
1399,Hospital Management
3597,Hospitals
3048,Hostage Taking
3369,House Fire
2620,Household Energy Expenditures
3447,Household Sanitation
2761,Household Surveys
3399,Household Water Supply
1594,Housing Allowance
870,Housing Construction
3830,Housing Developer Finance
612,Housing Finance
3829,Housing Finance and Climate Change
3832,Housing Finance and Islamic Finance
2184,Housing Finance for the Poor
869,Housing Laws and Regulations
904,Housing Markets
3831,Housing Microfinance
2183,Housing Mortgage Finance Products
1722,Housing Policy and Institutions
871,Housing Subsidies
4153,HOV Lane Monitoring and Control
4023,HSE in Mining
4022,HSE in Oil and Gas
2816,Human Capital Accumulation
1082,Human Capital and Growth
2845,Human Capital Flight
1092,Human Capital for Growth
385,Human Capital for Innovation and Entrepreneurship
2413,Human Centered Design
2598,Human Resource Management
2044,Human Resource Management Information System
1211,Human Resources
724,Human Resources for Public Sector
2203,Human Rights
2482,Human Rights Abuses and Reconciliation
2520,Human Rights Abuses and Reparations
2507,Human Rights Abuses and Violations
2515,Human Rights Alliances
2514,Human Rights Norms and Mechanisms
2458,Human Trafficking
3039,Humanitarian Aid
2516,Humanitarian Law
3179,Hurricane
3982,HVAC Power Line Construction
3984,HVAC Power Line Rehabilitation
3983,HVAC Power Substation Construction
3985,HVAC Power Substation Rehabilitation
3987,HVAC Power Transmission for Regional Integration
3986,HVAC Power Transmission for Renewable Energy Integration
3997,HVDC Power Line Construction
3998,HVDC Power Line Rehabilitation
3999,HVDC Power Substation Construction
4000,HVDC Power Substation Rehabilitation
4001,HVDC Power Transmission for Regional Integration
4004,HVDC Power Transmission for Renewable Energy Integration
3720,Hydro Environmental Impact Assessments
3724,Hydro Greenhouse Gas Emissions
3717,Hydro Sustainability Assessment Protocol
3200,Hydro-meteorological
1953,Hydro-Meteorological Services
1853,Hydrofluorocarbons
3199,Hydrological Event
569,Hydromet Services
3707,Hydropower and Dam Contract Management
3721,Hydropower and Dam Downstream Flows,
3716,Hydropower and Dam Masterplans,
3703,Hydropower and Dam Rehabilitation,
3715,Hydropower and Dam Sector Governance (Policy," Institutions)"""
3714,Hydropower and Dam Sector Governance,
527,Hydropower and Dams,
3729,Hydropower and Dams Stakeholder Engagement,
1988,Hydropower Technologies,
147,Hygiene Promotion,
1432,Hypertension,
3126,Hypotension </a></li></ul></div>,
3505,IBBS,
3184,Ice,
3218,Ice Jam Flood,
198,ICT and Agriculture,
2426,ICT and Customs,
2422,ICT and Education
2428,ICT and Energy
2424,ICT and Financial Sector
2423,ICT and Health
685,ICT and Justice
2594,ICT and National Single Window Systems
688,ICT and Social Accountability
2427,ICT and Transport
2421,ICT and Water
652,ICT Applications
3431,ICT Applications for Water Supply and Sanitation
3094,ICT Convergence
2355,ICT Data Monitoring
682,ICT for Citizen Engagement
2431,ICT for Disabled
2420,ICT for Jobs
2430,ICT for Urban Development and Cities
2684,ICT Impact on Jobs
281,ICT Industry and Services
667,ICT Infrastructure
2399,ICT Innovation and Transformation
2401,ICT Innovation Methodologies
2350,ICT Innovation Policy
283,ICT Law
2121,ICT Licensing
1536,ICT Literacy
2375,ICT Methods and Procedures
2354,ICT Monitoring and Results
282,ICT Policy
284,ICT Procurement Policy
3079,ICT Records Management
280,ICT Sector Strategy
2357,ICT Sector Strategy Results Framework
670,ICT Security
2356,ICT Statistical Capacity Building
2344,ICT Strategy
279,ICT Strategy
2383,ICT System Integration
1537,ICT Training of Education Providers
1228,ICT Value Chain
1689,ID Systems
2073,Illicit Financial Flows
2691,Illicit Work
2837,Immigration
1459,Immunizations
1157,Impact Evaluation for Evidence-Based Policy
3941,Impact Evaluation of Power Projects
4148,Impact Evaluation of Transport Interventions
3672,Impact Evaluation of Water Interventions
2114,Impact of Competition
3728,Impact of Hydropower and Dams on Resettlement and Livelihoods
1192,Impact of Trade
2110,Implementation of State Aid Control Frameworks
2828,Import Substitution Industrialization and Jobs
3570,Impovershing Expenditures
3922,Improved Access to Electricity Services
3001,Improving Access to Finance
3448,In-house Sanitation Systems
2204,In-Migration
2610,Incentive Framework for Trade and Foreign Investment
805,Inclusive Cities
2876,Inclusive Cities and Jobs
1549,Inclusive Education
477,Inclusive Growth
3006,Inclusive Growth in Fragile and Conflict States
2884,Inclusive Jobs
3785,Inclusive Jobs and Poverty
2021,Income and Asset Disclosure
2668,Income Inequality
1611,Income-Generating Activities
2277,Independent Power Projects
2800,Independent-Contractor Relations
1550,Indigenous Education
2893,Indigenous Groups and Jobs
749,Indigenous Peoples
2793,Individual Labor Dismissals
2058,Individual Performance Management
1226,Industrial Clusters and Value Chains
3933,Industrial Minerals
3673,Industrial Organization of the Water Sector
2847,Industrial Policies
2967,Industrial Pollution
3446,Industrial Wastewater
3402,Industrial Water Pollution
3401,Industrial Water Use
1202,Industrial Zones
1231,Industry Analytics and Diagnostics
3002,Industry Cluster
970,Industry Laws and Regulations
1075,Industry Policy
818,Industry Policy and Real Sectors
700,Inequality and Shared Prosperity
925,Inequality under Law
642,Infant and Child Health
1446,Infant and Child Mortality
3004,Infant Industry Protection
442,Inflation
2771,Inflation Targeting and Employment
1421,Influenza
2692,Informal Employment
1938,Informal Justice
2882,Informal Sector Productivity
1577,Informal Sector Vocational Training
1168,Informality
133,Information and Communication Technologies
409,Information and Communication Technologies for Business Climate
1977,Information and Statistics
2373,Information Auditing and Compliance
692,Information Technology Parks and Zones
1083,Infrastructure and Growth
2485,Infrastructure and Post-Conflict Reconstruction
342,Infrastructure Funds
2774,Infrastructure Investments for Jobs
3510,Injecting Drug Users
1428,Injury
1049,Inland Aquaculture
2991,Inland Saline Aquaculture
4044,Inland Waterways
460,Innovation and Growth
2880,Innovation and Jobs
1944,Innovation and Productivity Growth
1914,Innovation and Technology Planning
378,Innovation and Technology Policy
1275,Innovation Collaboration
399,Innovation for Green Growth
376,Innovation
1084,Innovation
400,Innovation-Driven Inclusive Growth
1724,Innovative Cities
3578,Innovative Financing
3237,Insect Infestation
846,Insolvency and Debtor-Creditor Law
3127,Inspections for Business
2140,Inspectorate
2115,Institutional Building for Competition
1639,Institutional Care
2591,Institutional Development for Customs
2635,Institutional Policy for Investment Promotion
833,Institutional Reform
3450,Institutional Sanitation
2117,Institutional Set-Up
3542,Institutional Sustainability for Health
3918,Institutional Uses of Electricity
1276,Institutions and Growth
3836,Insurance
1258,Insurance Core Principles
3819,Insurance for Climate Finance
3582,Insurance Information System
975,Insurance Law and Regulation
338,Insurance Risk-Based Supervision (Solvency II)
2464,Insurgency
2593,Integrated Border Management
1958,Integrated Coastal Zone Management
423,Integrated Urban Water Management
3403,Integrated Urban Water Pollution Control
3683,Integrated Water Management
3594,Integration of Health Services
2840,Integration of Migrants
2842,Integration of Non-Nationals
313,Integrity and Anti-Corruption
1917,Intellectual Property Management
851,Intellectual Property Rights
2493,Intelligence and National Security
1725,Intelligent Transport Systems
4160,Intelligent Transport Systems for Network Management
4159,Intelligent Transport Systems for Road Networks
3763,Intention to Action Gap and Poverty
981,Inter-governmental Fiscal Relations
2414,Interaction Design
1125,Interest Rate Policy
3888,Interest Rate Risk
3887,Internal Capital Adequacy Assessment Process
2146,Internal Efficiency in Education
3607,Internal Medicine
315,International Accounting Standards
1028,International Boundaries
1884,International Commercial Arbitration
3085,International Connectivity
312,International Financial Standards
962,International Law
1888,International Procurement
355,International Remittances
3016,International River Laws
768,International Standards and Technical Regulations
1260,International Standards on Auditing
1261,International Standards on Combating Money Laundering and the Financing of Terrorism and Proliferation
1790,International Waterways
1254,Internet Banking
3385,Internet Blackout
2416,Internet of Things
2824,Internship
657,Interoperability
1175,Intraregional Trade
2543,Investment Behavioural Incentives
405,Investment Climate
2544,Investment Entry
2545,Investment Entry Procedures and Administrative Efficiency
341,Investment Funds
1284,Investment Incentives
2541,Investment Incentives Cost-Benefit Analysis
2542,Investment Incentives Procedures and Administrative Efficiency
2540,Investment Incentives Transparency and Governance
977,Investment Law
2832,Investment Policies and Jobs
2539,Investment Policy Action Planning and Stakeholder Engagement
769,Investment Policy and Promotion
2552,Investment Promotion
2625,Investment Promotion for Agribusiness
2548,Investment Protection
2536,Investment Reform Mapping
2537,Investment Typology
3808,Investments in Capital Market Intermediaries
2636,Investor Facilitation
2549,Investor Guarantees and Legal Protection
2551,Investor Issue Tracking and Grievance Management
2646,Investor Motivation Surveys
2638,Investor Outreach
2637,Investor Servicing and Aftercare
750,Involuntary Resettlement
1866,IP Asset Rights Management
1865,IP Asset Valuation
1867,IP Licensing
1908,IP Registries
2931,Iron
3635,Iron and Folic Acid
3676,Irrigation and Drainage
151,Irrigation and Drainage Methods
997,Irrigation and Drainage Modernization and Rehabilitation
995,Irrigation and Drainage Operation and Maintenance
3680,Irrigation Cost Recovery and Cost Sharing
3681,Irrigation Institutional Arrangements and Reforms
3678,Irrigation Mapping and Monitoring
992,Irrigation Methods
1002,Irrigation Water Quality
324,Islamic Finance
2070,Islamic Law
2374,IT Risk Management
3755,Iterative Approach and Poverty</a></li></ul></div>
1170,Job Creation and Job Opportunities
1652,Job Placement
2745,Job Quality and Labor Market Performance
2863,Job Reallocations
1659,Job Rotation
1660,Job Sharing
2783,Job Tax Credits
2679,Jobless Growth
2670,Jobs
2673,Jobs and Climate Change
2671,Jobs and Development
2682,Jobs and Globalization
2854,Jobs and Green Initiatives
475,Jobs and Growth
2681,Jobs and Health Epidemics
701,Jobs and Poverty
2672,Jobs and Shared Prosperity
2689,Jobs Diagnostics
2709,Jobs in Agrarian Countries
2849,Jobs in Agriculture
2716,Jobs in Countries with a Youth Bulge
2711,Jobs in Countries with Aging Societies
2850,Jobs in Education
2851,Jobs in Energy and Extractives
2853,Jobs in Environment &amp; Natural Resources
2855,Jobs in Finance and Markets
2706,Jobs in Fragile States
2857,Jobs in Governance
2858,Jobs in Health
2707,Jobs in Island States
2859,Jobs in ITC
2712,Jobs in Lower Income Countries
2713,Jobs in Middle Income Countries
2856,Jobs in Non-Bank Financial Institutions
2715,Jobs in OECD Countries
2708,Jobs in Resource Rich Countries
2862,Jobs in Tourism
2861,Jobs in Trade and Competitiveness
2714,Jobs in Upper Income Countries
2710,Jobs in Urbanizing Countries
2860,Jobs in Water
2769,Jobs Strategies
2496,Judicial and Court Reform
1011,Judicial Appointments
946,Judicial Education and Training
945,Judicial Independence
840,Justice
1931,Justice Sector Communication and Outreach
1930,Justice Sector Coordination
1929,Justice Sector Finance and Budgeting
1213,Justice Sector Surveys
841,Justice System Administration</a></li></ul></div>
1943,Key Attributes of Effective Resolution Regimes for Financial Institutions
3047,Kidnapping
1915,Knowledge Accumulation
664,Knowledge Management
1945,Knowledge-based Capital for Innovation</a></li></ul></div></div>
848,Labor and Employment Laws and Regulations
2789,Labor Contracts
2738,Labor Earnings
2825,Labor Flexibility
2750,Labor Force
2803,Labor Force Frictions
2765,Labor Force Surveys
2676,Labor Incomes and Poverty
2680,Labor Intensive Growth
1651,Labor Intermediation
2788,Labor Market Institutions and Policies
1132,Labor Market Regulation
2766,Labor Market Surveys
855,Labor Markets
2746,Labor Participation
2756,Labor Productivity
2790,Labor Redundancy
1668,Labor Standards
2751,Labor Supply
2786,Labor Taxes
3153,Lahar
3833,Land Acquisition
2288,Land Acquisition Laws
817,Land and Housing
979,Land and Housing Regulation
3164,Land Fire
994,Land Reclamation
891,Land Reform
1910,Land Registries
888,Land Tenure
2287,Land Use Laws
2586,Landlocked Countries
3040,Landmines
3204,Landslide
3157,Landslide Following Earthquake
1712,Landslide Risk Reduction
1558,Language of Instruction
2335,Last Mile Connectivity
3454,Latrines
3151,Lava Flow
2082,Law Enforcement
1020,Law of the Sea
2562,LDC Services Waiver
1555,Learning Assessment
1553,Learning Theory and Cognitive Development
368,Leasing
2966,Legacy Pollution
845,Legal and Regulatory Framework
2037,Legal Drafting
2038,Legislative Scrutiny and Oversight
988,Levees
3596,Levels of Care
478,Levels of Education
3809,Leverage for Capital Market Intermediaries
3742,Leveraging Technology for Financial Inclusion
3585,Licensing and Accredidation of Educational Institutes
543,Licensing and Contracting for Oil and Gas
560,Licensing and Contracting of Minerals
3128,Licensing and Permits for Businesses
2666,Life Expectancy
3837,Life Insurance
857,Life Skills
484,Lifelong Learning
1229,Light Manufacturing Value Chain
1959,Linking Farmers with Markets
3155,Liquefaction
1751,Liquefied Natural Gas
3889,Liquidity Risk
1582,Literacy and Numeracy
2687,Livelihood Insurance
1583,Livelihood Skills
4024,Livestock
2407,Living Labs
2744,Living Wages
1667,Loan-based Programs
384,Loans and Guarantees
798,Local and Regional Economic Development
2953,Local Business Regulation
3504,Local Epidemic Appraisal
874,Local Finance
737,Local Governance
2970,Local Government Fiscal System
2588,Logistics Hubs and Platforms
2606,Logistics in Lagging Regions
1312,Long-term Care
2170,Long-Term Care Delivery
2169,Long-Term Care Financing
3760,Loss Aversion and Poverty
3988,Loss Reduction in HVAC Power Transmission
4002,Loss Reduction in HVDC Power Transmission
3637,Low Birthweight
803,Low Carbon City Development
580,Low Carbon Development
4180,Low Volume Roads
163,Low-Emissions Transport
1599,Low-income Program</a></li></ul></div>
3050,Machine Readable Travel Document
3075,Machine-to-Machine
1916,Machinery and Equipment
2095,Machinery of Government
704,Macro Shocks
1148,Macro-Vulnerability
1066,Macroeconomic Analysis of Economic Development
439,Macroeconomic and Structural Policies
1147,Macroeconomic Imbalances and Adjustments
3108,Macroeconomic Modelling and Statistics
440,Macroeconomic Monitoring
1106,Macroeconomic Performance
1088,Macroeconomic Stability and Growth
1096,Macroeconomic Sustainability
1104,Macroeconomic Vulnerability and Debt
3103,Macroeconomics and Environmental Sustainability
3030,Macroeconomics of Conflict and Fragility
1128,Macroprudential Policy
325,Macroprudential Regulation
2973,Main Canals
1832,Mainstreaming and Production Landscape
3623,Maintenance of Medical Equipment and Supplies
2406,Makerthons
1420,Malaria
3537,Male Circumcision
2727,Male Workers,
3114,MAMS,
3358,Man-Made Disasters,
2990,Management of Animal Fecal Matter,
3595,Management of Health Services,
3696,Managing Droughts,
716,Managing Public Finances,
3547,Mandatory Health Insurance,
2658,Mandatory Retirement Age,
1281,Manufacturing,
1351,Manufacturing of Drugs,
2629,Manufacturing Sector Diagnostics and Analysis,
2630,Manufacturing Sector Strategy,
3767,Manufacturing," and Services"""
1048,Marine Protected Areas,
1799,Marine Transport,
3366,Maritime Incident
2460,Maritime Piracy
4189,Maritime Safety
2609,Market Access Issues
3873,Market Analysis and Segmentation
2106,Market Competition Advocacy and Liberalization
2112,Market Definition and Market Power
1248,Market Discipline
2872,Market Diversification and Jobs
1068,Market Failures
2652,Market Linkages for SMEs
1247,Market Risks
2113,Market Studies and Competition Assessments
1844,Market-Based Climate Change Mitigation
339,Market-Based Insurance Products
3781,Markets and Institutions for Poverty Reduction and Shared Prosperity
3159,Mass movement
1726,Mass Transit
3636,Maternal and Child Nutrition
1456,Maternal Mortality and Morbidity
1646,Maternity Leave
3693,Measuring Water Use and Consumption
938,Mediation and Dispute Resolution
1362,Medical Equipment and Supplies
629,Medical Supplies Finance
1398,Medical Waste Management
1107,Medium Term Debt Management Strategy
1430,Mental Health
2447,Mercenaries
1237,Merchant Banks
1746,Merger Control Policy
2951,Merger Law
3872,Mergers and Acquisitions
1699,Metal Ore Mining
3175,Meteorological
1854,Methane
1749,Mezzanine Funds
3120,MFMod
3032,MIC Traps
2185,Micro Housing Finance
3838,Micro Insurance
1764,Micro-Credit
1169,Micro-enterprises
2719,Micro-Enterprises and Jobs
340,Micro-Insurance
1761,Micro-Leasing
1762,Micro-Savings
1067,Microeconomic Analysis of Economic Development
367,Microfinance
3849,Microfinance Channel Development
3843,Microfinance Mobilization
3735,Microfinance Regulation and Supervision
2361,Micromapping
3633,Micronutrient Supplements
2172,Micronutrients
2415,Microwork
544,Mid and Downstream Oil and Gas
1153,Middle-class
1455,Midwives
2729,Migrant Workers
3515,Migrants and AIDS
2839,Migration of Highly-Skilled Workers
2836,Migration Policies and Jobs
3036,Military
2448,Militia
3762,Mindset and Poverty
3932,Mine Closure and Rehabilitation
2309,Mine Closure Funding Assurance
2308,Mine Closure Regulation
3931,Mine Waste and Tailings
3912,Mini-Grid System
2801,Minimal and Living Wages
1671,Minimum Wages
3660,Mining and Health
3930,Mining and Social Development
3989,Mining Benefits Sharing
2930,Mining Cadastre
2320,Mining Capacity Building
897,Mining Environmental Management
556,Mining Fiscal Policies and Revenue Collection
2326,Mining Health and Safety,
3370,Mining Incident,
2319,Mining Institutional Frameworks,
559,Mining Laws and Regulations,
2324,Mining Licensing and Registration,
554,Mining Policy," and Regulations"""
2323,Mining Regulation,
1701,Mining Services,
895,Mining Systems,
3929,Mining Tax Administration,
2325,Mining Technical Training,
2889,Minorities and Disenfranchised Groups and Jobs,
3722,Mitigation and Impact of Hydropower and Dams on Fisheries,
1952,Mitigation Technology,
2363,Mobile Applications,
1252,Mobile Banking,
673,Mobile Device Management
3059,Mobile e-services Applications
3096,Mobile ID
3095,Mobile ID Applications
2331,Mobile Local Access
827,Mobile Money
293,Mobile Networks and Devices
3055,Mobile Open Government Application
3092,Mobile Phone
164,Modes of Transport
1779,Modified Ecosystems
1108,Monetary Analysis
1098,Monetary and Financial Stability
444,Monetary Policy
2770,Monetary Policy and Employment
1076,Monetary Policy and Growth
2076,Money laundering
1156,Monitoring and Evaluation for Evidence-Based Policy
2150,Monitoring and Evaluation in Education
1212,Monitoring and Evaluation in Justice
3713,Monitoring and Evaluation of Hydrpoower and Dam Projects
3416,Monitoring and Evaluation of Water Supply and Sanitation
1745,Monopolization and Abuse of Dominance
3193,Monsoon
3661,Mortality
3834,Mortgage Market Development
2182,Mortgage Market Regulation and Supervision
1912,Mortgage Registries
3513,Mother To Child Transmission
4028,Motor Vehicle Crash Cost
4050,Motor Vehicle Transport
593,Mountain Ecosystems
1986,Mountains
3511,MSM
3863,MSME Data and Analytics
882,MSME Finance
366,MSME Finance Policy and Regulation
3860,MSME Islamic Finance
3862,MSME Market Studies and Analytics
3861,MSME Non-Financial Services
3210,Mud Flow
3209,Mudslide
1151,Multi-dimensional Poverty
1520,Multi-Grade Education
2193,Multi-Pillar Pension Systems
3400,Multi-village Water Systems
1138,Multilateral Debt Relief Initiative
1802,Multimodal Transport
2721,Multinational Corporations and Jobs
2993,Multinutrient Fertilizers
3706,Multipurpose Dams
1834,Municipal Asset Management
3796,Municipal Energy Efficiency
2963,Municipal Land Management
2964,Municipal Real Estate Asset Management
1828,Municipal Waste Management
2180,Mutual Funds
2579,Mutual Recognition Agreements</a></li></ul></div>
3121,National Accounting
2189,National Agricultural Insurance
2010,National Broadband Strategy
2011,National e-Government Strategy
2149,National Education Systems
3737,National Financial Inclusion Strategies
3566,National Health Accounts
545,National Oil Companies
3007,National Parks
2490,National Protection and Security
2624,National Quality Infrastructure and Capacity for Food Safety Compliance
390,National Quality Systems
2014,National Research and Education Networks
797,National Urban Policies
606,Natural Capital Accounting
3138,Natural Disaster
4183,Natural Disaster Response Kit
1163,Natural Disaster Shocks
3017,Natural Habitat Protection
1787,Natural Habitats
1979,Natural Resources
963,Natural Resources Law
600,Natural Resources Management
2274,Natural Resources Revenue Collection
2275,Natural Resources Revenue Management
2843,Naturalization
3008,Nature Parks
3074,Near-field communications
1423,Neglected Tropical Diseases
939,Negotiation and Dispute Resolution
3608,Nephrology
672,Network Infrastructure Management
2943,Network Switch
3609,Neurology
4131,New Roads
2935,Nickel
1794,Noise Pollution
1171,Non Farm Rural Employment
2697,Non-Agricultural Rural Employment
2759,Non-Agricultural Wage Employment
336,Non-Bank Financial Institutions
1427,Non-Communicable Disease and Injury
2799,Non-Compete Covenants
3732,Non-Contributory Pensions
2109,Non-Distortive State Support Measures
333,Non-Government Bond Markets
3839,Non-Life Insurance
1482,Non-Market Benefits of Education
787,Non-Motorized Transport
3825,Non-Performing Loan Management
2980,Non-Point Source Pollution
1731,Non-Revenue Water
2445,Non-State Security Actors
778,Non-Tariff Measures
2574,Non-Technical Regulations,
873,Non-Traditional Data-Driven Management,
1700,Nonmetallic Mineral Mining and Quarrying,
2758,Not in Education," or Training"""
3373,Nuclear Accident,
2469,Nuclear and Chemical War,
509,Nuclear Energy,
3038,Nuclear Weapons,
2753,Number of Jobs Supported,
3588,Nurses and Midwives,
2171,Nursing Homes,
644,Nutrition,
3650,Nutrition and Agriculture,
3499,Nutrition and AIDS,
3651,Nutrition and Education,
3647,Nutrition and Equity,
3641,Nutrition and Gender,
3649,Nutrition and Other Sectors,
3652,Nutrition and Social Protection,
3653,Nutrition and Water and Sanitation,
3642,Nutrition Capacity Development,
3648,Nutrition Cost Effectiveness,
3644,Nutrition Costs," Economics"""
3646,Nutrition Financing,
3638,Nutrition Policy and Programming,
1615,Nutrition Therapy Program,
1614,Nutritional Programs</a></li></ul></div>,
1435,Obesity,
1262,Objectives and Principles of Securities Regulation,
2083,Occupational Health and Safety,
4015,Occupational Health and Safety in Extractives,
1645,Occupational Injuries,
3493,Occupational Risk
1984,Ocean Pollution
1992,Ocean Power
2191,OECD/IOPS Standards for Pensions Regulation and Supervision
524,Off Grid Electrification
1991,Off-Grid Hydropower
2304,Offshore Oil and Gas Production
2284,Oil and Gas Capacity Building
550,Oil and Gas Development and Production
2291,Oil and Gas Distribution
3927,Oil and Gas Environmental Management
2290,Oil and Gas Export
2283,Oil and Gas Institutional Frameworks
542,Oil and Gas Laws and Regulations
1768,Oil and Gas Pipeline
539,Oil and Gas Policy
2292,Oil and Gas Production Sharing
2298,Oil and Gas Refineries
2289,Oil and Gas Refining
549,Oil and Gas Systems
3924,Oil and Gas Tax Administration
3372,Oil Spill
513,Oil-Fired Power
1702,Oilfield Services
1634,Old Age Pension
2730,Older Workers
2040,Ombudsmen
1954,On-farm Livestock
1971,On-Farm Storage
2823,On-the-Job Training
3482,Onchocerciasis
4025,One Health
3818,Online Marketplace
2302,Onshore Oil and Gas Production
2004,Onsite Sanitation
679,Open Data Policy
837,Open Government and Transparency
2946,Open Source
1539,Open Source in Education
2347,Open Source Licensing
2352,Open Source Policy
2403,Open Source Production
2947,Operating Systems
3705,Operations and Maintenance of Hydropower and Dams
3611,Opthamology
3087,Optical Cable
3518,Optima
3443,Optimisation of Water Distribution Network
2093,Organization of Public Administration
3665,Organizational Capacity for Health
285,Organizational ICT Strategy
725,Organizational Management in Government
2453,Organized Crime
758,Orphans
1596,Orphans Allowance
3771,Other Manufacturing
3115,Other Single Country CGE Models
752,Other Social Insurance Benefits
-1,Out of Pocket Payments
1551,Out-of-School Children and Youth
4208,Output- and Performance-Based Road Contracts
2699,Own Account Work
1795,Ozone Depleting Substances
1839,Ozone Layer Depletion and Climate Change</a></li></ul></div>
4040,Pack Animals,
3775,Packaged Food and Beverages,
1308,Palliative Care,
2167,Pandemics,
2449,Paramilitaries,
3234,Parasitic Disease,
1586,Parent Education,
1499,Parent," Community Involvement in Education"""
1593,Parental Allowance,
2138,Parents Associations,
2035,Parliament and Legislatures,
2693,Part Time Employment,
2798,Part-Time Work,
998,Participatory Irrigation and Drainage Management,
2742,Pass-Through Income,
1673,Passive Labor Market Policies,
1955,Pastoralism
3167,Pasture Fire
1981,Pasture Restoration
1041,Patents
1647,Paternity Leave
4144,Pavement Management System
2874,Pay and Incentives
