Code,Long_Code,Topic
WB_1945,WB_1945_KNOWLEDGE-BASED_CAPITAL_FOR_INNOVATION</A></LI></UL></DIV></DIV>,Knowledge-based Capital for Innovation</a></li></ul></div></div>
WB_1946,WB_1946_REAL-TIME_POVERTY_DATA,Real-time Poverty Data
WB_1947,WB_1947_RURAL_POVERTY_AND_LIVELIHOODS,Rural Poverty and Livelihoods
WB_1948,WB_1948_SUBSIDIES_AND_EVIDENCE-BASED_POLICY,Subsidies and Evidence-Based Policy
WB_1949,WB_1949_CLIMATE_SMART_AGRICULTURE,Climate Smart Agriculture
WB_1950,WB_1950_AGRICULTURE_TECHNOLOGY,Agriculture Technology
WB_1951,WB_1951_AGRICULTURAL_TECHNOLOGY_ADAPTATION,Agricultural Technology Adaptation
WB_1952,WB_1952_MITIGATION_TECHNOLOGY,Mitigation Technology
WB_1953,WB_1953_HYDRO-METEOROLOGICAL_SERVICES,Hydro-Meteorological Services
WB_1954,WB_1954_ON-FARM_LIVESTOCK,On-farm Livestock
WB_1955,WB_1955_PASTORALISM,Pastoralism
WB_1956,WB_1956_ZOONOTIC_DISEASE,Zoonotic Disease
WB_1957,WB_1957_ANIMAL_POLLUTION_MANAGEMENT,Animal Pollution Management
WB_1958,WB_1958_INTEGRATED_COASTAL_ZONE_MANAGEMENT,Integrated Coastal Zone Management
WB_1959,WB_1959_LINKING_FARMERS_WITH_MARKETS,Linking Farmers with Markets
WB_196,WB_196_AGRICULTURAL_INNOVATION_SYSTEMS,Agricultural Innovation Systems
WB_1960,WB_1960_FARM_INPUTS,Farm Inputs
WB_1962,WB_1962_AGRICULTURAL_CREDIT,Agricultural Credit
WB_1963,WB_1963_RESPONSIBLE_AGRICULTURAL_INVESTMENT,Responsible Agricultural Investment
WB_1964,WB_1964_RURAL_COMMUNITY_DRIVEN_DEVELOPMENT,Rural Community Driven Development
WB_1965,WB_1965_AGRICULTURAL_OUTPUT_MARKETS,Agricultural Output Markets
WB_1966,WB_1966_AGRO-PROCESSING,Agro-Processing
WB_1967,WB_1967_AGRICULTURAL_RISK_AND_SECURITY,Agricultural Risk and Security
WB_1968,WB_1968_CROP_SELECTION_AND_PRODUCTION,Crop Selection and Production
WB_1969,WB_1969_FARM_HOUSEHOLD_CONSUMPTION,Farm Household Consumption
WB_197,WB_197_AGRICULTURAL_RESEARCH,Agricultural Research
WB_1970,WB_1970_URBAN_FOOD_SUPPLY,Urban Food Supply
WB_1971,WB_1971_ON-FARM_STORAGE,On-Farm Storage
WB_1972,WB_1972_POST-HARVEST_LOSSES,Post-Harvest Losses
WB_1973,WB_1973_AGRICULTURAL_FINANCIAL_RISK_REDUCTION,Agricultural Financial Risk Reduction
WB_1975,WB_1975_AGRICULTURAL_FUTURES_AND_HEDGING,Agricultural Futures and Hedging
WB_1976,WB_1976_COOPERATIVE_DEVELOPMENT,Cooperative Development
WB_1977,WB_1977_INFORMATION_AND_STATISTICS,Information and Statistics
WB_1978,WB_1978_AGRICULTURE_AND_RELATED_SUBSIDIES,Agriculture and Related Subsidies
WB_1979,WB_1979_NATURAL_RESOURCES,Natural Resources
WB_198,WB_198_ICT_AND_AGRICULTURE,ICT and Agriculture
WB_1980,WB_1980_AGRO-FORESTRY,Agro-forestry
WB_1981,WB_1981_PASTURE_RESTORATION,Pasture Restoration
WB_1982,WB_1982_EROSION_CONTROL,Erosion Control
WB_1983,WB_1983_HEALTHY_OCEANS,Healthy Oceans
WB_1984,WB_1984_OCEAN_POLLUTION,Ocean Pollution
WB_1985,WB_1985_CAPTURE_FISHERIES,Capture Fisheries
WB_1986,WB_1986_MOUNTAINS,Mountains
WB_1987,WB_1987_SALINITY_MANAGEMENT,Salinity Management
WB_1988,WB_1988_HYDROPOWER_TECHNOLOGIES,Hydropower Technologies
WB_1989,WB_1989_STORAGE_HYDROPOWER,Storage Hydropower
WB_199,WB_199_FOOD_SECURITY,Food Security
WB_1990,WB_1990_RUN-OF-RIVER_HYDROPOWER,Run-of-River Hydropower
WB_1991,WB_1991_OFF-GRID_HYDROPOWER,Off-Grid Hydropower
WB_1992,WB_1992_OCEAN_POWER,Ocean Power
WB_1993,WB_1993_WATER_FOR_THERMAL_POWER_GENERATION,Water for Thermal Power Generation
WB_1994,WB_1994_WATER_FOR_FUEL_EXTRACTION,Water for Fuel Extraction
WB_1995,WB_1995_ENERGY_FOR_WATER_AND_WASTEWATER_TREATMENT,Energy for Water and Wastewater Treatment
WB_1996,WB_1996_ENERGY_RECOVERY_FROM_WASTEWATER,Energy Recovery from Wastewater
WB_1997,WB_1997_ENERGY_FOR_DESALINATION,Energy for Desalination
WB_1998,WB_1998_WATER_ECONOMICS,Water Economics
WB_1999,WB_1999_RIVER_RESTORATION,River Restoration
WB_200,WB_200_FOOD_PRICE_ANALYSIS,Food Price Analysis
WB_2000,WB_2000_SANITATION,Sanitation
WB_2003,WB_2003_SANITATION_TECHNOLOGIES,Sanitation Technologies
WB_2004,WB_2004_ONSITE_SANITATION,Onsite Sanitation
WB_2005,WB_2005_COMMUNITY_WATER_SUPPLY_MANAGEMENT,Community Water Supply Management
WB_2006,WB_2006_PPP_IN_WATER_SUPPLY_AND_SANITATION,PPP in Water Supply and Sanitation
WB_2008,WB_2008_WATER_TREATMENT,Water Treatment
WB_2009,WB_2009_WATER_QUALITY_MONITORING,Water Quality Monitoring
WB_2010,WB_2010_NATIONAL_BROADBAND_STRATEGY,National Broadband Strategy
WB_2011,WB_2011_NATIONAL_E-GOVERNMENT_STRATEGY,National e-Government Strategy
WB_2012,WB_2012_GOVERNMENT_DATA_CENTRES,Government Data Centres
WB_2014,WB_2014_NATIONAL_RESEARCH_AND_EDUCATION_NETWORKS,National Research and Education Networks
WB_2019,WB_2019_ANTI-CORRUPTION_LEGISLATION,Anti-Corruption Legislation
WB_2020,WB_2020_BRIBERY,Bribery
WB_2021,WB_2021_INCOME_AND_ASSET_DISCLOSURE,Income and Asset Disclosure
WB_2022,WB_2022_CONFLICT_OF_INTEREST_LEGISLATION,Conflict of Interest Legislation
WB_2023,WB_2023_WHISTLEBLOWER_PROTECTION,Whistleblower Protection
WB_2024,WB_2024_ANTI-CORRUPTION_AUTHORITIES,Anti-Corruption Authorities
WB_2025,WB_2025_ANTI-CORRUPTION_INVESTIGATION,Anti-Corruption Investigation
WB_2026,WB_2026_CORRUPTION_PREVENTION,Corruption Prevention
WB_2027,WB_2027_PUBLIC_AWARENESS_AND_COMMUNICATION,Public Awareness and Communication
WB_2029,WB_2029_ANTI-CORRUPTION_SURVEYS_AND_ANALYTICAL_WORK,Anti-Corruption Surveys and Analytical Work
WB_2031,WB_2031_RIGHT_TO_INFORMATION,Right to Information
WB_2032,WB_2032_RIGHT_TO_SERVICES,Right to Services
WB_2033,WB_2033_BUDGET_TRANSPARENCY_AND_PARTICIPATION,Budget Transparency and Participation
WB_2034,WB_2034_STATE_LEGITIMACY,State Legitimacy
WB_2035,WB_2035_PARLIAMENT_AND_LEGISLATURES,Parliament and Legislatures
WB_2036,WB_2036_RESEARCH_AND_ANALYTIC_CAPACITY,Research and Analytic Capacity
WB_2037,WB_2037_LEGAL_DRAFTING,Legal Drafting
WB_2038,WB_2038_LEGISLATIVE_SCRUTINY_AND_OVERSIGHT,Legislative Scrutiny and Oversight
WB_2039,WB_2039_CONSTITUTIONAL_COURTS_AND_LEGAL_REVIEW,Constitutional Courts and Legal Review
WB_2040,WB_2040_OMBUDSMEN,Ombudsmen
WB_2044,WB_2044_HUMAN_RESOURCE_MANAGEMENT_INFORMATION_SYSTEM,Human Resource Management Information System
WB_2046,WB_2046_CAREER_MANAGEMENT,Career Management
WB_2048,WB_2048_COMPENSATION,Compensation
WB_2052,WB_2052_REMUNERATION_POLICY,Remuneration Policy
WB_2054,WB_2054_SIZE_OF_THE_PUBLIC_SERVICE,Size of the Public Service
WB_2055,WB_2055_EMPLOYMENT_AND_WAGE_DATA,Employment and Wage Data
WB_2056,WB_2056_PAYROLL_AUDITS_AND_CENSUS,Payroll Audits and Census
WB_2058,WB_2058_INDIVIDUAL_PERFORMANCE_MANAGEMENT,Individual Performance Management
WB_2059,WB_2059_FUNCTIONAL_REVIEWS,Functional Reviews
WB_2060,WB_2060_BUDGET_PREPARATION_AND_MANAGEMENT_TECHNIQUES,Budget Preparation and Management Techniques
WB_2061,WB_2061_BUDGET_PREPARATION_SYSTEM,Budget Preparation System
WB_2062,WB_2062_BUDGET_EXECUTION_AND_TREASURY_MANAGEMENT,Budget Execution and Treasury Management
WB_2063,WB_2063_PUBLIC_SECTOR_INTERNAL_AUDIT,Public Sector Internal Audit
WB_2064,WB_2064_PUBLIC_SECTOR_ACCOUNTING_AND_REPORTING,Public Sector Accounting and Reporting
WB_2065,WB_2065_PUBLIC_SECTOR_EXTERNAL_AUDIT,Public Sector External Audit
WB_2066,WB_2066_PROJECT_CYCLE_MANAGEMENT,Project Cycle Management
WB_2067,WB_2067_PUBLIC_INVESTMENT_MANAGEMENT_INDEX,Public Investment Management Index
WB_2068,WB_2068_PPP_IN_PUBLIC_INVESTMENT_MANAGEMENT,PPP in Public Investment Management
WB_2069,WB_2069_REVENUE_ADMINISTRATION,Revenue Administration
WB_2070,WB_2070_ISLAMIC_LAW,Islamic Law
WB_2071,WB_2071_COMMON_LAW,Common Law
WB_2072,WB_2072_STOLEN_ASSETS,Stolen Assets
WB_2073,WB_2073_ILLICIT_FINANCIAL_FLOWS,Illicit Financial Flows
WB_2074,WB_2074_PROCEEDS_OF_CRIME,Proceeds of Crime
WB_2075,WB_2075_TAX_CRIME,Tax Crime
WB_2076,WB_2076_MONEY_LAUNDERING,Money laundering
WB_2077,WB_2077_FINANCIAL_SUPERVISION_FOR_INTEGRITY,Financial Supervision for Integrity
WB_2078,WB_2078_FINANCIAL_INCLUSION_AND_FINANCIAL_INTEGRITY,Financial Inclusion and Financial Integrity
WB_2079,WB_2079_BENEFICIAL_OWNERSHIP,Beneficial Ownership
WB_2080,WB_2080_TRANSPARENCY_IN_LICENSING,Transparency in Licensing
WB_2081,WB_2081_FINANCIAL_DISCLOSURE,Financial Disclosure
WB_2082,WB_2082_LAW_ENFORCEMENT,Law Enforcement
WB_2083,WB_2083_OCCUPATIONAL_HEALTH_AND_SAFETY,Occupational Health and Safety
WB_2084,WB_2084_BIODIVERSITY,Biodiversity
WB_2085,WB_2085_PUBLIC_SECTOR_DOWNSIZING,Public Sector Downsizing
WB_2086,WB_2086_ESTABLISHMENT_AND_PAYROLL_CONTROL,Establishment and Payroll Control
WB_2087,WB_2087_PENSION_ARRANGEMENTS,Pension Arrangements
WB_2089,WB_2089_ETHICS_AND_CODES_OF_CONDUCT,Ethics and Codes of Conduct
WB_2090,WB_2090_CIVIL_SERVICE_TRAINING,Civil Service Training
WB_2091,WB_2091_SENIOR_CIVIL_SERVANTS,Senior Civil Servants
WB_2092,WB_2092_CIVIL_SERVICE_TRADITION,Civil Service Tradition
WB_2093,WB_2093_ORGANIZATION_OF_PUBLIC_ADMINISTRATION,Organization of Public Administration
WB_2095,WB_2095_MACHINERY_OF_GOVERNMENT,Machinery of Government
WB_2096,WB_2096_REGULATORY_MANAGEMENT,Regulatory Management
WB_2097,WB_2097_AGENCIFICATION,Agencification
WB_2098,WB_2098_PUBLIC_SECTOR_OUTSOURCING,Public Sector Outsourcing
WB_2099,WB_2099_PPP_IN_PUBLIC_SERVICE_DELIVERY,PPP in Public Service Delivery
WB_2100,WB_2100_ADMINISTRATIVE_SIMPLIFICATION,Administrative Simplification
WB_2101,WB_2101_ANTITRUST,Antitrust
WB_2103,WB_2103_PRODUCT_MARKET_REGULATION_IN_REGULATED_INDUSTRIES,Product Market Regulation in Regulated Industries
WB_2104,WB_2104_PRODUCT_MARKET_REGULATION_IN_SERVICES,Product Market Regulation in Services
WB_2105,WB_2105_PUBLIC_PROCUREMENT_AND_COMPETITION,Public Procurement and Competition
WB_2106,WB_2106_MARKET_COMPETITION_ADVOCACY_AND_LIBERALIZATION,Market Competition Advocacy and Liberalization
WB_2107,WB_2107_PRICE_CONTROLS,Price Controls
WB_2108,WB_2108_STATE_AID_AND_COMPETITIVE_NEUTRALITY,State Aid and Competitive Neutrality
WB_2109,WB_2109_NON-DISTORTIVE_STATE_SUPPORT_MEASURES,Non-Distortive State Support Measures
WB_2110,WB_2110_IMPLEMENTATION_OF_STATE_AID_CONTROL_FRAMEWORKS,Implementation of State Aid Control Frameworks
WB_2111,WB_2111_COMPETITION_ECONOMICS,Competition Economics
WB_2112,WB_2112_MARKET_DEFINITION_AND_MARKET_POWER,Market Definition and Market Power
WB_2113,WB_2113_MARKET_STUDIES_AND_COMPETITION_ASSESSMENTS,Market Studies and Competition Assessments
WB_2114,WB_2114_IMPACT_OF_COMPETITION,Impact of Competition
WB_2115,WB_2115_INSTITUTIONAL_BUILDING_FOR_COMPETITION,Institutional Building for Competition
WB_2116,WB_2116_COMPETITION_AGENCY_EFFECTIVENESS,Competition Agency Effectiveness
WB_2117,WB_2117_INSTITUTIONAL_SET-UP,Institutional Set-Up
WB_2118,WB_2118_PUBLIC_FINANCIAL_ANALYSIS,Public Financial Analysis
WB_2119,WB_2119_SOCIAL_PROTECTION_MANAGEMENT_INFORMATION_SYSTEMS,Social Protection Management Information Systems
WB_2120,WB_2120_SATELLITE_CONNECTIVITY,Satellite Connectivity
WB_2121,WB_2121_ICT_LICENSING,ICT Licensing
WB_2122,WB_2122_SMART_ENERGY,Smart Energy
WB_2123,WB_2123_CORPORATE_DATA_NETWORKS,Corporate Data Networks
WB_2124,WB_2124_ECONOMIC_ANALYSIS_OF_EDUCATION,Economic Analysis of Education
WB_2125,WB_2125_PPP_IN_EDUCATION,PPP in Education
WB_2126,WB_2126_RELIGIOUS_EDUCATION,Religious Education
WB_2127,WB_2127_EDUCATION_ACCESS_AND_EQUITY,Education Access and Equity
WB_2128,WB_2128_RURAL_EDUCATION,Rural Education
WB_2129,WB_2129_TEXTBOOKS,Textbooks
WB_2130,WB_2130_PEDAGOGICAL_MATERIALS,Pedagogical Materials
WB_2131,WB_2131_EMPLOYABILITY,Employability
WB_2132,WB_2132_APPRENTICESHIP,Apprenticeship
WB_2133,WB_2133_QUALIFICATION_FRAMEWORKS,Qualification Frameworks
WB_2135,WB_2135_EDUCATION_EFFICIENCY,Education Efficiency
WB_2136,WB_2136_TRACER_STUDY,Tracer Study
WB_2137,WB_2137_SOFT_SKILLS,Soft Skills
WB_2138,WB_2138_PARENTS_ASSOCIATIONS,Parents Associations
WB_2139,WB_2139_COMMUNITY_OUTREACH,Community Outreach
WB_2140,WB_2140_INSPECTORATE,Inspectorate
WB_2141,WB_2141_EDUCATION_DISTRICTS,Education Districts
WB_2142,WB_2142_EDUCATIONAL_DECENTRALIZATION_AND_LOCAL_GOVERNMENT,Educational Decentralization and Local Government
WB_2143,WB_2143_SCHOOL-BASED_MANAGEMENT,School-Based Management
WB_2144,WB_2144_SCHOOL_DIRECTORS,School Directors
WB_2145,WB_2145_SCHOOL_INSPECTION,School Inspection
WB_2146,WB_2146_INTERNAL_EFFICIENCY_IN_EDUCATION,Internal Efficiency in Education
WB_2147,WB_2147_EDUCATION_RESEARCH_AND_DEVELOPMENT,Education Research and Development
WB_2148,WB_2148_EDUCATION_PROJECTIONS,Education Projections
WB_2149,WB_2149_NATIONAL_EDUCATION_SYSTEMS,National Education Systems
WB_2150,WB_2150_MONITORING_AND_EVALUATION_IN_EDUCATION,Monitoring and Evaluation in Education
WB_2151,WB_2151_CHILD_DEVELOPMENT,Child Development
WB_2152,WB_2152_SECONDARY_EDUCATION_GRADUATION,Secondary Education Graduation
WB_2153,WB_2153_SECONDARY_EDUCATION_ORIENTATION,Secondary Education Orientation
WB_2154,WB_2154_SECONDARY_TECHNICAL_EDUCATION,Secondary Technical Education
WB_2155,WB_2155_HEALTH_FINANCING_AND_SUSTAINABILITY,Health Financing and Sustainability
WB_2156,WB_2156_CONTINUUM_OF_CARE,Continuum of Care
WB_2157,WB_2157_EXTERNAL_EFFICIENCY_OF_EDUCATION,External Efficiency of Education
WB_2158,WB_2158_EQUITY-EFFICIENCY_TRADE-OFF,Equity-Efficiency Trade-Off
WB_2159,WB_2159_BENEFITS_PACKAGE,Benefits Package
WB_2160,WB_2160_PROCUREMENT_OF_HEALTH_SECTOR_GOODS_AND_SUPPLIES,Procurement of Health Sector Goods and Supplies
WB_2161,WB_2161_HEALTH_IN_ALL_POLICIES,Health in All Policies
WB_2162,WB_2162_AGING_AND_HEALTH,Aging and Health
WB_2163,WB_2163_PUBLIC_HEALTH_REGULATION,Public Health Regulation
WB_2164,WB_2164_EPIDEMIOLOGY_AND_DISEASE_SURVEILLANCE,Epidemiology and Disease Surveillance
WB_2165,WB_2165_HEALTH_EMERGENCIES,Health Emergencies
WB_2166,WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE,Health Emergency Preparedness and Disaster Response
WB_2167,WB_2167_PANDEMICS,Pandemics
WB_2168,WB_2168_EDUCATIONAL_EQUITY,Educational Equity
WB_2169,WB_2169_LONG-TERM_CARE_FINANCING,Long-Term Care Financing
WB_2170,WB_2170_LONG-TERM_CARE_DELIVERY,Long-Term Care Delivery
WB_2171,WB_2171_NURSING_HOMES,Nursing Homes
WB_2172,WB_2172_MICRONUTRIENTS,Micronutrients
WB_2173,WB_2173_EDUCATION_PUBLIC_EXPENDITURE_TRACKING_SURVEY,Education Public Expenditure Tracking Survey
WB_2174,WB_2174_RETURNS_TO_EDUCATION,Returns to Education
WB_2175,WB_2175_EDUCATION_AND_ECONOMIC_GROWTH,Education and Economic Growth
WB_2176,WB_2176_EDUCATION_AND_THE_KNOWLEDGE_ECONOMY,Education and the Knowledge Economy
WB_2177,WB_2177_DUAL_TRAINING,Dual Training
WB_2179,WB_2179_COMMERCIAL_AGRICULTURE,Commercial Agriculture
WB_2180,WB_2180_MUTUAL_FUNDS,Mutual Funds
WB_2181,WB_2181_HEALTH_BASKET_FINANCE,Health Basket Finance
WB_2182,WB_2182_MORTGAGE_MARKET_REGULATION_AND_SUPERVISION,Mortgage Market Regulation and Supervision
WB_2183,WB_2183_HOUSING_MORTGAGE_FINANCE_PRODUCTS,Housing Mortgage Finance Products
WB_2184,WB_2184_HOUSING_FINANCE_FOR_THE_POOR,Housing Finance for the Poor
WB_2185,WB_2185_MICRO_HOUSING_FINANCE,Micro Housing Finance
WB_2186,WB_2186_SOCIAL_HOUSING,Social Housing
WB_2187,WB_2187_RENTAL_HOUSING,Rental Housing
WB_2188,WB_2188_AFFORDABLE_HOUSING_SUPPLY,Affordable Housing Supply
WB_2189,WB_2189_NATIONAL_AGRICULTURAL_INSURANCE,National Agricultural Insurance
WB_2191,WB_2191_OECD/IOPS_STANDARDS_FOR_PENSIONS_REGULATION_AND_SUPERVISION,OECD/IOPS Standards for Pensions Regulation and Supervision
WB_2192,WB_2192_PENSION_FUNDS_RISK-BASED_SUPERVISION,Pension Funds Risk-Based Supervision
WB_2193,WB_2193_MULTI-PILLAR_PENSION_SYSTEMS,Multi-Pillar Pension Systems
WB_2194,WB_2194_ANIMAL_WELFARE,Animal Welfare
WB_2195,WB_2195_PUBLIC_SECTOR_ENVIROMENTAL_IMPACT_ASSESSMENT,Public Sector Enviromental Impact Assessment
WB_2196,WB_2196_FINANCIAL_INTERMEDIARIES,Financial Intermediaries
WB_2197,WB_2197_ENVIRONMENTAL_ENGINEERING,Environmental Engineering
WB_2198,WB_2198_CHEMICAL_ENGINEERING,Chemical Engineering
WB_2199,WB_2199_SANITATION_ENGINEERING,Sanitation Engineering
WB_2200,WB_2200_PUBLIC_SECTOR_CUMULATIVE_IMPACT_ASSESSMENT,Public Sector Cumulative Impact Assessment
WB_2201,WB_2201_FIRE_OCCUPATIONAL_SAFETY,Fire Occupational Safety
WB_2202,WB_2202_PUBLIC_SECTOR_SOCIAL_IMPACT_ASSESSMENT,Public Sector Social Impact Assessment
WB_2203,WB_2203_HUMAN_RIGHTS,Human Rights
WB_2204,WB_2204_IN-MIGRATION,In-Migration
WB_2205,WB_2205_ENVIRONMENTAL_AND_SOCIAL_CATEGORIZATION,Environmental and Social Categorization
WB_2206,WB_2206_PUBLIC-PRIVATE_PARTNERSHIPS,Public-Private Partnerships
WB_2207,WB_2207_THEMATIC-BASED_PPPS,Thematic-based PPPs
WB_2208,WB_2208_PPP_POLICY_AND_STRATEGY,PPP Policy and Strategy
WB_2209,WB_2209_PPP_VALUE_DRIVERS,PPP Value Drivers
WB_2210,WB_2210_PPP_STRATEGY,PPP Strategy
WB_2211,WB_2211_PPP_POLICY,PPP Policy
WB_2212,WB_2212_PPP_PROJECT_SELECTION,PPP Project Selection
WB_2213,WB_2213_PPP_PROJECT_IDENTIFICATION,PPP Project Identification
WB_2214,WB_2214_PPP_PIPELINE,PPP Pipeline
WB_2215,WB_2215_PPP_PILOT_PROJECTS,PPP Pilot Projects
WB_2216,WB_2216_PRIVATE_PROPOSALS,Private Proposals
WB_2217,WB_2217_PPP_PROJECT_ASSESSMENT,PPP Project Assessment
WB_2218,WB_2218_PPP_PROJECT_DEVELOPMENT,PPP Project Development
WB_2219,WB_2219_PPP_ECONOMIC_ASSESSMENT,PPP Economic Assessment
WB_2220,WB_2220_PPP_VALUE_FOR_MONEY,PPP Value for Money
WB_2221,WB_2221_PPP_AFFORDABILITY,PPP Affordability
WB_2222,WB_2222_PPP_PROJECT_PRIORITIZATION,PPP Project Prioritization
WB_2223,WB_2223_PPP_PROJECT_APPROVAL,PPP Project Approval
WB_2224,WB_2224_PPP_PROCUREMENT,PPP Procurement
WB_2225,WB_2225_PPP_TENDER_PREPARATION,PPP Tender Preparation
WB_2226,WB_2226_PPP_PRE-QUALIFICATION,PPP Pre-Qualification
WB_2227,WB_2227_PPP_TENDER_RULES,PPP Tender Rules
WB_2228,WB_2228_PPP_CONTRACT_DESIGN,PPP Contract Design
WB_2229,WB_2229_PPP_TENDER_PHASES,PPP Tender Phases
WB_2230,WB_2230_PPP_SELECTION_CRITERIA,PPP Selection Criteria
WB_2231,WB_2231_PPP_NEGOTIATION,PPP Negotiation
WB_2232,WB_2232_PPP_OUTPUT_SPECIFICATIONS,PPP Output Specifications
WB_2233,WB_2233_PPP_PERFORMANCE_INDICATORS,PPP Performance Indicators
WB_2234,WB_2234_PPP_PERFORMANCE_REQUIREMENTS,PPP Performance Requirements
WB_2235,WB_2235_PPP_REWARDS_AND_PENALTIES,PPP Rewards and Penalties
WB_2236,WB_2236_PPP_PAYMENT_SCHEMES,PPP Payment Schemes
WB_2237,WB_2237_PPP_USER_FEES,PPP User Fees
WB_2238,WB_2238_PPP_AVAILABILITY_PAYMENTS,PPP Availability Payments
WB_2239,WB_2239_PPP_PROCUREMENT_GOVERNANCE,PPP Procurement Governance
WB_2240,WB_2240_PPP_CONTRACT_MANAGEMENT,PPP Contract Management
WB_2241,WB_2241_PPP_CONTRACT_MANAGEMENT_TEAMS,PPP Contract Management Teams
WB_2242,WB_2242_PPP_MONITORING,PPP Monitoring
WB_2243,WB_2243_PPP_BENCHMARKING,PPP Benchmarking
WB_2244,WB_2244_PPP_REGULATION,PPP Regulation
WB_2245,WB_2245_PPP_CONFLICT_RESOLUTION,PPP Conflict Resolution
WB_2246,WB_2246_PPP_RENEGOTIATION,PPP Renegotiation
WB_2247,WB_2247_PPP_CONTRACT_TERMINATION,PPP Contract Termination
WB_2248,WB_2248_PPP_FISCAL_MANAGEMENT,PPP Fiscal Management
WB_2249,WB_2249_PPP_ACCOUNTING_AND_REPORTING,PPP Accounting and Reporting
WB_2250,WB_2250_PPP_CONTINGENT_LIABILITIES,PPP Contingent Liabilities
WB_2251,WB_2251_PPP_DEMAND_GUARANTEES,PPP Demand Guarantees
WB_2252,WB_2252_PPP_CREDIT_GUARANTEES,PPP Credit Guarantees
WB_2253,WB_2253_PPP_REVENUE_GUARANTEES,PPP Revenue Guarantees
WB_2254,WB_2254_PPP_IMPLICIT_LIABILITIES,PPP Implicit Liabilities
WB_2255,WB_2255_PPP_FISCAL_RISK_MANAGEMENT,PPP Fiscal Risk Management
WB_2256,WB_2256_PPP_GOVERNANCE_AND_INSTITUTIONS,PPP Governance and Institutions
WB_2257,WB_2257_PPP_LEGAL_FRAMEWORK,PPP Legal Framework
WB_2258,WB_2258_PPP_DISCLOSURE_AND_TRANSPARENCY,PPP Disclosure and Transparency
WB_2259,WB_2259_PPPS_AND_SUPREME_AUDITING_INSTITUTIONS,PPPs and Supreme Auditing Institutions
WB_2260,WB_2260_PRIVATE_SECTOR_DEVELOPMENT_FOR_PPP,Private Sector Development for PPP
WB_2261,WB_2261_PPP_RAPID_ASSESSMENT,PPP Rapid Assessment
WB_2262,WB_2262_PPP_FINANCE,PPP Finance
WB_2263,WB_2263_PPP_PROJECT_FINANCE,PPP Project Finance
WB_2264,WB_2264_PPP_CORPORATE_FINANCE,PPP Corporate Finance
WB_2265,WB_2265_PPP_FINANCE_MULTILATERAL_SUPPORT,PPP Finance Multilateral Support
WB_2266,WB_2266_PPP_OPERATION,PPP Operation
WB_2267,WB_2267_PUBLIC_SECTOR_M&AMP;E_TOOLS_AND_METHODS,Public Sector M&amp;E Tools and Methods
WB_2268,WB_2268_PUBLIC_SECTOR_M&AMP;E_STANDARDS,Public Sector M&amp;E Standards
WB_2269,WB_2269_PUBLIC_SECTOR_M&AMP;E_TRANSPARENCY,Public Sector M&amp;E Transparency
WB_2270,WB_2270_PUBLIC_SECTOR_M&AMP;E_RESPONSE,Public Sector M&amp;E Response
WB_2271,WB_2271_PUBLIC_SECTOR_M&AMP;E_IMPACT,Public Sector M&amp;E Impact
WB_2272,WB_2272_PUBLIC_SECTOR_M&AMP;E_FRAUD_AND_CORRUPTION,Public Sector M&amp;E Fraud and Corruption
WB_2273,WB_2273_UPSTREAM_OIL_AND_GAS,Upstream Oil and Gas
WB_2274,WB_2274_NATURAL_RESOURCES_REVENUE_COLLECTION,Natural Resources Revenue Collection
WB_2275,WB_2275_NATURAL_RESOURCES_REVENUE_MANAGEMENT,Natural Resources Revenue Management
WB_2276,WB_2276_SAFEGUARDS_FOR_MINING,Safeguards for Mining
WB_2277,WB_2277_INDEPENDENT_POWER_PROJECTS,Independent Power Projects
WB_2278,WB_2278_TRANSMISSION_AND_DISTRIBUTION_CONCESSIONS,Transmission and Distribution Concessions
WB_2279,WB_2279_ENERGY_RESOURCE_MOBILIZATION,Energy Resource Mobilization
WB_2280,WB_2280_ENERGY_RISK_MITIGATION,Energy Risk Mitigation
WB_2281,WB_2281_EXTRACTIVE_INDUSTRIES_TRANSPARENCY_INITIATIVE,Extractive Industries Transparency Initiative
WB_2283,WB_2283_OIL_AND_GAS_INSTITUTIONAL_FRAMEWORKS,Oil and Gas Institutional Frameworks
WB_2284,WB_2284_OIL_AND_GAS_CAPACITY_BUILDING,Oil and Gas Capacity Building
WB_2286,WB_2286_GEOLOGICAL_SURVEY,Geological Survey
WB_2287,WB_2287_LAND_USE_LAWS,Land Use Laws
WB_2288,WB_2288_LAND_ACQUISITION_LAWS,Land Acquisition Laws
WB_2289,WB_2289_OIL_AND_GAS_REFINING,Oil and Gas Refining
WB_2290,WB_2290_OIL_AND_GAS_EXPORT,Oil and Gas Export
WB_2291,WB_2291_OIL_AND_GAS_DISTRIBUTION,Oil and Gas Distribution
WB_2292,WB_2292_OIL_AND_GAS_PRODUCTION_SHARING,Oil and Gas Production Sharing
WB_2293,WB_2293_COST_OIL,Cost Oil
WB_2294,WB_2294_PROFIT_OIL,Profit Oil
WB_2295,WB_2295_EXTRACTIVES_BENEFITS_SHARING,Extractives Benefits Sharing
WB_2297,WB_2297_COMMUNITY_DEVELOPMENT_FUNDS,Community Development Funds
