GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,Action_Geo_FeatureID,DATEADDED,SOURCEURL
,,,,,,,New Zealand,,Ecuadorians,Franciscan Friars of the Third Order  Regular,Franciscan Friars of the Third Order  Regular,,,,,,New Zealand,,Ecuadorians,Franciscan Friars of the Third Order  Regular,Franciscan Friars of the Third Order  Regular,,,,,Refuse to allow international involvement (non mediation),,,,,,,,,,,Niger,,,,,,,,Niger,,,,,,,,Niger,,,,,,,
,,,,,,,Nicaragua,,Efik,Fransalians   a.k.a. Missionaries of St. Francis de  Sales,Fransalians   a.k.a. Missionaries of St. Francis de  Sales,,,,,,Nicaragua,,Efik,Fransalians   a.k.a. Missionaries of St. Francis de  Sales,Fransalians   a.k.a. Missionaries of St. Francis de  Sales,,,,,Refuse to de-escalate military engagement,,,,,,,,,,,Nigeria,,,,,,,,Nigeria,,,,,,,,Nigeria,,,,,,,
,,,,,,,Niger,,East Indian,Grey Nuns of the Sacred Heart,Grey Nuns of the Sacred Heart,,,,,,Niger,,East Indian,Grey Nuns of the Sacred Heart,Grey Nuns of the Sacred Heart,,,,,"Reject proposal to meet, discuss, or negotiate",,,,,,,,,,,Niue,,,,,,,,Niue,,,,,,,,Niue,,,,,,,
,,,,,,,Nigeria,,Ekajuk,Good Shepherd Sisters,Good Shepherd Sisters,,,,,,Nigeria,,Ekajuk,Good Shepherd Sisters,Good Shepherd Sisters,,,,,Reject mediation,,,,,,,,,,,No Mans Land,,,,,,,,No Mans Land,,,,,,,,No Mans Land,,,,,,,
,,,,,,,Niue,,English,Handmaids of the Blessed Sacrament and of Charity,Handmaids of the Blessed Sacrament and of Charity,,,,,,Niue,,English,Handmaids of the Blessed Sacrament and of Charity,Handmaids of the Blessed Sacrament and of Charity,,,,,"Reject plan, agreement to settle dispute",,,,,,,,,,,Norfolk Island,,,,,,,,Norfolk Island,,,,,,,,Norfolk Island,,,,,,,
,,,,,,,Norfolk Island,,Eshira,Handmaids of the Sacred Heart of Jesus,Handmaids of the Sacred Heart of Jesus,,,,,,Norfolk Island,,Eshira,Handmaids of the Sacred Heart of Jesus,Handmaids of the Sacred Heart of Jesus,,,,,"Defy norms, law",,,,,,,,,,,North Korea,,,,,,,,North Korea,,,,,,,,North Korea,,,,,,,
,,,,,,,Northern Mariana Islands,,Estonian,Holy Cross Fathers   a.k.a. Congregation of Holy Cross,Holy Cross Fathers   a.k.a. Congregation of Holy Cross,,,,,,Northern Mariana Islands,,Estonian,Holy Cross Fathers   a.k.a. Congregation of Holy Cross,Holy Cross Fathers   a.k.a. Congregation of Holy Cross,,,,,Veto,,,,,,,,,,,Northern Mariana Islands,,,,,,,,Northern Mariana Islands,,,,,,,,Northern Mariana Islands,,,,,,,
,,,,,,,Norway,,Ethiopian-Jews,Order of Hospitalers   a.k.a. Hospitaler Brothers of St. John of   God,Order of Hospitalers   a.k.a. Hospitaler Brothers of St. John of   God,,,,,,Norway,,Ethiopian-Jews,Order of Hospitalers   a.k.a. Hospitaler Brothers of St. John of   God,Order of Hospitalers   a.k.a. Hospitaler Brothers of St. John of   God,,,,,Threaten,,,,,,,,,,,Norway,,,,,,,,Norway,,,,,,,,Norway,,,,,,,
,,,,,,,Occupied Palestinian Territory,,Europeans,Infant Jesus Sisters   a.k.a.  Nicolas Barre,Infant Jesus Sisters   a.k.a.  Nicolas Barre,,,,,,Occupied Palestinian Territory,,Europeans,Infant Jesus Sisters   a.k.a.  Nicolas Barre,Infant Jesus Sisters   a.k.a.  Nicolas Barre,,,,,Threaten non-force,,,,,,,,,,,Oceans,,,,,,,,Oceans,,,,,,,,Oceans,,,,,,,
,,,,,,,Oman,,Evenks,Institute of Christ the King Sovereign  Priest,Institute of Christ the King Sovereign  Priest,,,,,,Oman,,Evenks,Institute of Christ the King Sovereign  Priest,Institute of Christ the King Sovereign  Priest,,,,,Threaten to reduce or stop aid,,,,,,,,,,,Oman,,,,,,,,Oman,,,,,,,,Oman,,,,,,,
,,,,,,,Pakistan,,Ewe,Jesuits   a.k.a.  Society of Jesus,Jesuits   a.k.a.  Society of Jesus,,,,,,Pakistan,,Ewe,Jesuits   a.k.a.  Society of Jesus,Jesuits   a.k.a.  Society of Jesus,,,,,"Threaten to boycott, embargo, or sanction",,,,,,,,,,,Pakistan,,,,,,,,Pakistan,,,,,,,,Pakistan,,,,,,,
,,,,,,,Palau,,Ewondo,Josephines of Asti   a.k.a.  Oblates of St. Joseph,Josephines of Asti   a.k.a.  Oblates of St. Joseph,,,,,,Palau,,Ewondo,Josephines of Asti   a.k.a.  Oblates of St. Joseph,Josephines of Asti   a.k.a.  Oblates of St. Joseph,,,,,Threaten to reduce or break relations,,,,,,,,,,,Palau,,,,,,,,Palau,,,,,,,,Palau,,,,,,,
,,,,,,,Panama,,Fang,Josephite Fathers and Brothers   a.k.a. St. Joseph_s Society of the Sacred  Heart,Josephite Fathers and Brothers   a.k.a. St. Joseph_s Society of the Sacred  Heart,,,,,,Panama,,Fang,Josephite Fathers and Brothers   a.k.a. St. Joseph_s Society of the Sacred  Heart,Josephite Fathers and Brothers   a.k.a. St. Joseph_s Society of the Sacred  Heart,,,,,Threaten with administrative sanctions,,,,,,,,,,,Palmyra Atoll,,,,,,,,Palmyra Atoll,,,,,,,,Palmyra Atoll,,,,,,,
,,,,,,,Papua New Guinea,,Faroese,"Lazarists   a.k.a. Vincentians, Congregation of the  Mission","Lazarists   a.k.a. Vincentians, Congregation of the  Mission",,,,,,Papua New Guinea,,Faroese,"Lazarists   a.k.a. Vincentians, Congregation of the  Mission","Lazarists   a.k.a. Vincentians, Congregation of the  Mission",,,,,Threaten to impose restrictions on political freedoms ,,,,,,,,,,,Panama,,,,,,,,Panama,,,,,,,,Panama,,,,,,,
,,,,,,,Paraguay,,Fante,Legionaries of Christ,Legionaries of Christ,,,,,,Paraguay,,Fante,Legionaries of Christ,Legionaries of Christ,,,,,Threaten to ban political parties or politicians,,,,,,,,,,,Papua New Guinea,,,,,,,,Papua New Guinea,,,,,,,,Papua New Guinea,,,,,,,
,,,,,,,Peru,,Fijian,Little Sisters of the Poor,Little Sisters of the Poor,,,,,,Peru,,Fijian,Little Sisters of the Poor,Little Sisters of the Poor,,,,,Threaten to impose curfew,,,,,,,,,,,Paracel Islands,,,,,,,,Paracel Islands,,,,,,,,Paracel Islands,,,,,,,
,,,,,,,Philippines,,Filipino,Loreto Sisters   a.k.a.  Institute of the Blessed Virgin Mary,Loreto Sisters   a.k.a.  Institute of the Blessed Virgin Mary,,,,,,Philippines,,Filipino,Loreto Sisters   a.k.a.  Institute of the Blessed Virgin Mary,Loreto Sisters   a.k.a.  Institute of the Blessed Virgin Mary,,,,,Threaten to impose state of emergency or martial law,,,,,,,,,,,Paraguay,,,,,,,,Paraguay,,,,,,,,Paraguay,,,,,,,
,,,,,,,Pitcairn,,Finns,Marian Fathers,Marian Fathers,,,,,,Pitcairn,,Finns,Marian Fathers,Marian Fathers,,,,,"Threaten political dissent, protest",,,,,,,,,,,Peru,,,,,,,,Peru,,,,,,,,Peru,,,,,,,
,,,,,,,Poland,,Finno-Ugric,"Marianists   a.k.a. Marists, Daughters of Mary Immaculate, Society of  Mary","Marianists   a.k.a. Marists, Daughters of Mary Immaculate, Society of  Mary",,,,,,Poland,,Finno-Ugric,"Marianists   a.k.a. Marists, Daughters of Mary Immaculate, Society of  Mary","Marianists   a.k.a. Marists, Daughters of Mary Immaculate, Society of  Mary",,,,,Threaten to halt negotiations,,,,,,,,,,,Philippines,,,,,,,,Philippines,,,,,,,,Philippines,,,,,,,
,,,,,,,Portugal,,Fon,Marist Brothers,Marist Brothers,,,,,,Portugal,,Fon,Marist Brothers,Marist Brothers,,,,,Threaten to halt mediation,,,,,,,,,,,Pitcairn Islands,,,,,,,,Pitcairn Islands,,,,,,,,Pitcairn Islands,,,,,,,
,,,,,,,Puerto Rico,,French,Maryknoll    a.k.a.  Catholic Foreign Mission Society of  America,Maryknoll    a.k.a.  Catholic Foreign Mission Society of  America,,,,,,Puerto Rico,,French,Maryknoll    a.k.a.  Catholic Foreign Mission Society of  America,Maryknoll    a.k.a.  Catholic Foreign Mission Society of  America,,,,,Threaten to halt international involvement (non-mediation),,,,,,,,,,,Poland,,,,,,,,Poland,,,,,,,,Poland,,,,,,,
,,,,,,,Qatar,,Santals,Mercedarians   a.k.a. Order of Our Lady of Mercy,Mercedarians   a.k.a. Order of Our Lady of Mercy,,,,,,Qatar,,Santals,Mercedarians   a.k.a. Order of Our Lady of Mercy,Mercedarians   a.k.a. Order of Our Lady of Mercy,,,,,Threaten with violent repression,,,,,,,,,,,Portugal,,,,,,,,Portugal,,,,,,,,Portugal,,,,,,,
,,,,,,,Runion,,Frisians,Missionaries of Charity,Missionaries of Charity,,,,,,Runion,,Frisians,Missionaries of Charity,Missionaries of Charity,,,,,Threaten to use military force,,,,,,,,,,,Puerto Rico,,,,,,,,Puerto Rico,,,,,,,,Puerto Rico,,,,,,,
,,,,,,,Romania,,Fur,Missionaries of the Sacred  Heart,Missionaries of the Sacred  Heart,,,,,,Romania,,Fur,Missionaries of the Sacred  Heart,Missionaries of the Sacred  Heart,,,,,Threaten blockade,,,,,,,,,,,Qatar,,,,,,,,Qatar,,,,,,,,Qatar,,,,,,,
,,,,,,,Russia,,Fula,Missionary Contemplative Movement _P. de Foucauld_ a.k.a. Centro Missionario _P. de Foucauld_,Missionary Contemplative Movement _P. de Foucauld_ a.k.a. Centro Missionario _P. de Foucauld_,,,,,,Russia,,Fula,Missionary Contemplative Movement _P. de Foucauld_ a.k.a. Centro Missionario _P. de Foucauld_,Missionary Contemplative Movement _P. de Foucauld_ a.k.a. Centro Missionario _P. de Foucauld_,,,,,Threaten occupation ,,,,,,,,,,,Reunion,,,,,,,,Reunion,,,,,,,,Reunion,,,,,,,
,,,,,,,Rwanda,,Friulan,Norbertines or Premonstratensians    a.k.a.  Canons Regular of Prmontr,Norbertines or Premonstratensians    a.k.a.  Canons Regular of Prmontr,,,,,,Rwanda,,Friulan,Norbertines or Premonstratensians    a.k.a.  Canons Regular of Prmontr,Norbertines or Premonstratensians    a.k.a.  Canons Regular of Prmontr,,,,,Threaten unconventional violence ,,,,,,,,,,,Romania,,,,,,,,Romania,,,,,,,,Romania,,,,,,,
,,,,,,,Saint Helena,,Garifuna,Olivetans   a.k.a. Order of Our Lady of Mount  Olivet,Olivetans   a.k.a. Order of Our Lady of Mount  Olivet,,,,,,Saint Helena,,Garifuna,Olivetans   a.k.a. Order of Our Lady of Mount  Olivet,Olivetans   a.k.a. Order of Our Lady of Mount  Olivet,,,,,Threaten conventional attack  ,,,,,,,,,,,Russia,,,,,,,,Russia,,,,,,,,Russia,,,,,,,
,,,,,,,Saint Kitts-Nevis,,Gayo,Oblates Of Mary Immaculate,Oblates Of Mary Immaculate,,,,,,Saint Kitts-Nevis,,Gayo,Oblates Of Mary Immaculate,Oblates Of Mary Immaculate,,,,,Threaten attack with wmd,,,,,,,,,,,Rwanda,,,,,,,,Rwanda,,,,,,,,Rwanda,,,,,,,
,,,,,,,Saint Lucia,,Gbaya,Oblate Sisters of Providence,Oblate Sisters of Providence,,,,,,Saint Lucia,,Gbaya,Oblate Sisters of Providence,Oblate Sisters of Providence,,,,,Give ultimatum,,,,,,,,,,,Saint Helena,,,,,,,,Saint Helena,,,,,,,,Saint Helena,,,,,,,
,,,,,,,Saint Pierre and Miquelon,,Gelao,Oratorians    a.k.a.  Oratory of St.  Philip Neri,Oratorians    a.k.a.  Oratory of St.  Philip Neri,,,,,,Saint Pierre and Miquelon,,Gelao,Oratorians    a.k.a.  Oratory of St.  Philip Neri,Oratorians    a.k.a.  Oratory of St.  Philip Neri,,,,,Protest,,,,,,,,,,,Saint Kitts and Nevis,,,,,,,,Saint Kitts and Nevis,,,,,,,,Saint Kitts and Nevis,,,,,,,
,,,,,,,Saint Vincent and the Grenadines,,Georgian,Order of St.  Elisabeth,Order of St.  Elisabeth,,,,,,Saint Vincent and the Grenadines,,Georgian,Order of St.  Elisabeth,Order of St.  Elisabeth,,,,,Engage in political dissent,,,,,,,,,,,Saint Lucia,,,,,,,,Saint Lucia,,,,,,,,Saint Lucia,,,,,,,
,,,,,,,Samoa,,German,Pallottines    a.k.a.  Society of the Catholic Apostolate,Pallottines    a.k.a.  Society of the Catholic Apostolate,,,,,,Samoa,,German,Pallottines    a.k.a.  Society of the Catholic Apostolate,Pallottines    a.k.a.  Society of the Catholic Apostolate,,,,,Demonstrate or rally,,,,,,,,,,,Saint Martin,,,,,,,,Saint Martin,,,,,,,,Saint Martin,,,,,,,
,,,,,,,San Marino,,Gia Rai,Paris Foreign Missions Society   a.k.a. Missions Etrangres de Paris,Paris Foreign Missions Society   a.k.a. Missions Etrangres de Paris,,,,,,San Marino,,Gia Rai,Paris Foreign Missions Society   a.k.a. Missions Etrangres de Paris,Paris Foreign Missions Society   a.k.a. Missions Etrangres de Paris,,,,,Demonstrate for leadership change,,,,,,,,,,,Saint Pierre and Miquelon,,,,,,,,Saint Pierre and Miquelon,,,,,,,,Saint Pierre and Miquelon,,,,,,,
,,,,,,,Sao Tome and Principe,,Kiribati,Passionists   a.k.a.  Congregation of the Passion,Passionists   a.k.a.  Congregation of the Passion,,,,,,Sao Tome and Principe,,Kiribati,Passionists   a.k.a.  Congregation of the Passion,Passionists   a.k.a.  Congregation of the Passion,,,,,Demonstrate for policy change,,,,,,,,,,,Saint Vincent and the Grenadines,,,,,,,,Saint Vincent and the Grenadines,,,,,,,,Saint Vincent and the Grenadines,,,,,,,
,,,,,,,Saudi Arabia,,Gin,Paulists    a.k.a.  Congregation of St. Paul,Paulists    a.k.a.  Congregation of St. Paul,,,,,,Saudi Arabia,,Gin,Paulists    a.k.a.  Congregation of St. Paul,Paulists    a.k.a.  Congregation of St. Paul,,,,,Demonstrate for rights,,,,,,,,,,,Saint-Barthelemy Island,,,,,,,,Saint-Barthelemy Island,,,,,,,,Saint-Barthelemy Island,,,,,,,
,,,,,,,Senegal,,Gio,Piarists   a.k.a. Clerics Regulars Poors of the Mother of God of the Pious  Schools,Piarists   a.k.a. Clerics Regulars Poors of the Mother of God of the Pious  Schools,,,,,,Senegal,,Gio,Piarists   a.k.a. Clerics Regulars Poors of the Mother of God of the Pious  Schools,Piarists   a.k.a. Clerics Regulars Poors of the Mother of God of the Pious  Schools,,,,,"Demonstrate for change in institutions, regime",,,,,,,,,,,Samoa,,,,,,,,Samoa,,,,,,,,Samoa,,,,,,,
,,,,,,,Serbia,,Gaels,Poor Clares    a.k.a.  Nuns of the Order of St.  Clare/(Order of Poor Ladies,Poor Clares    a.k.a.  Nuns of the Order of St.  Clare/(Order of Poor Ladies,,,,,,Serbia,,Gaels,Poor Clares    a.k.a.  Nuns of the Order of St.  Clare/(Order of Poor Ladies,Poor Clares    a.k.a.  Nuns of the Order of St.  Clare/(Order of Poor Ladies,,,,,Conduct hunger strike,,,,,,,,,,,San Marino,,,,,,,,San Marino,,,,,,,,San Marino,,,,,,,
,,,,,,,Seychelles,,Irish,Presentation Brothers,Presentation Brothers,,,,,,Seychelles,,Irish,Presentation Brothers,Presentation Brothers,,,,,Conduct hunger strike for leadership change,,,,,,,,,,,Sao Tome and Principe,,,,,,,,Sao Tome and Principe,,,,,,,,Sao Tome and Principe,,,,,,,
,,,,,,,Sierra Leone,,Galician,Presentation Sisters    a.k.a.  Sisters of the Presentation of the Blessed Virgin Mary,Presentation Sisters    a.k.a.  Sisters of the Presentation of the Blessed Virgin Mary,,,,,,Sierra Leone,,Galician,Presentation Sisters    a.k.a.  Sisters of the Presentation of the Blessed Virgin Mary,Presentation Sisters    a.k.a.  Sisters of the Presentation of the Blessed Virgin Mary,,,,,Conduct hunger strike for policy change,,,,,,,,,,,Saudi Arabia,,,,,,,,Saudi Arabia,,,,,,,,Saudi Arabia,,,,,,,
,,,,,,,Singapore,,Manx,Priestly Fraternity of St. Peter,Priestly Fraternity of St. Peter,,,,,,Singapore,,Manx,Priestly Fraternity of St. Peter,Priestly Fraternity of St. Peter,,,,,Conduct hunger strike for rights,,,,,,,,,,,Senegal,,,,,,,,Senegal,,,,,,,,Senegal,,,,,,,
,,,,,,,Slovakia,,Gondi,Redemptorists   a.k.a. Congregation of the Most Holy Redeemer,Redemptorists   a.k.a. Congregation of the Most Holy Redeemer,,,,,,Slovakia,,Gondi,Redemptorists   a.k.a. Congregation of the Most Holy Redeemer,Redemptorists   a.k.a. Congregation of the Most Holy Redeemer,,,,,"Conduct hunger strike for change in institutions, regime ",,,,,,,,,,,Serbia,,,,,,,,Serbia,,,,,,,,Serbia,,,,,,,
,,,,,,,Slovenia,,Gorontalonese,Religious of the Cenacle,Religious of the Cenacle,,,,,,Slovenia,,Gorontalonese,Religious of the Cenacle,Religious of the Cenacle,,,,,Conduct strike or boycott,,,,,,,,,,,Seychelles,,,,,,,,Seychelles,,,,,,,,Seychelles,,,,,,,
,,,,,,,Solomon Islands,,Grassfielders,Resurrectionists,Resurrectionists,,,,,,Solomon Islands,,Grassfielders,Resurrectionists,Resurrectionists,,,,,Conduct strike or boycott for leadership change  ,,,,,,,,,,,Sierra Leone,,,,,,,,Sierra Leone,,,,,,,,Sierra Leone,,,,,,,
,,,,,,,Somalia,,Grebo,Rogationists of the Heart of Jesus,Rogationists of the Heart of Jesus,,,,,,Somalia,,Grebo,Rogationists of the Heart of Jesus,Rogationists of the Heart of Jesus,,,,,Conduct strike or boycott for policy change,,,,,,,,,,,Singapore,,,,,,,,Singapore,,,,,,,,Singapore,,,,,,,
,,,,,,,South Africa,,Greek,Rosminians    a.k.a.  Institute of Charity,Rosminians    a.k.a.  Institute of Charity,,,,,,South Africa,,Greek,Rosminians    a.k.a.  Institute of Charity,Rosminians    a.k.a.  Institute of Charity,,,,,Conduct strike or boycott for rights,,,,,,,,,,,Slovenia,,,,,,,,Slovenia,,,,,,,,Slovenia,,,,,,,
,,,,,,,Spain,,Guarani,Sacramentines   a.k.a. Congregation of the Blessed Sacrament,Sacramentines   a.k.a. Congregation of the Blessed Sacrament,,,,,,Spain,,Guarani,Sacramentines   a.k.a. Congregation of the Blessed Sacrament,Sacramentines   a.k.a. Congregation of the Blessed Sacrament,,,,,"Conduct strike or boycott for change in institutions, regime",,,,,,,,,,,Solomon Islands,,,,,,,,Solomon Islands,,,,,,,,Solomon Islands,,,,,,,
,,,,,,,Sri Lanka,,Swiss Germans,"Salesians of St.  John Bosco    a.k.a.  Salesian Society, Salesians of John Bosco, Society of St.  Francis de   Sales","Salesians of St.  John Bosco    a.k.a.  Salesian Society, Salesians of John Bosco, Society of St.  Francis de   Sales",,,,,,Sri Lanka,,Swiss Germans,"Salesians of St.  John Bosco    a.k.a.  Salesian Society, Salesians of John Bosco, Society of St.  Francis de   Sales","Salesians of St.  John Bosco    a.k.a.  Salesian Society, Salesians of John Bosco, Society of St.  Francis de   Sales",,,,,"Obstruct passage, block",,,,,,,,,,,Somalia,,,,,,,,Somalia,,,,,,,,Somalia,,,,,,,
,,,,,,,Sudan,,Guatemalan,"Salesian Sisters   a.k.a. Daughters of Mary Help of Christian, (Daughters of St. Francis de   Sales?)","Salesian Sisters   a.k.a. Daughters of Mary Help of Christian, (Daughters of St. Francis de   Sales?)",,,,,,Sudan,,Guatemalan,"Salesian Sisters   a.k.a. Daughters of Mary Help of Christian, (Daughters of St. Francis de   Sales?)","Salesian Sisters   a.k.a. Daughters of Mary Help of Christian, (Daughters of St. Francis de   Sales?)",,,,,Obstruct passage to demand leadership change ,,,,,,,,,,,South Africa,,,,,,,,South Africa,,,,,,,,South Africa,,,,,,,
,,,,,,,Suriname,,Gujarati,Salvatorians    a.k.a.  Society of the Divine  Savior,Salvatorians    a.k.a.  Society of the Divine  Savior,,,,,,Suriname,,Gujarati,Salvatorians    a.k.a.  Society of the Divine  Savior,Salvatorians    a.k.a.  Society of the Divine  Savior,,,,,Obstruct passage to demand policy change,,,,,,,,,,,South Georgia and the South Sandwich Islands,,,,,,,,South Georgia and the South Sandwich Islands,,,,,,,,South Georgia and the South Sandwich Islands,,,,,,,
,,,,,,,Svalbard and Jan Mayen Islands,,Guan,Scalabrians   a.k.a. Congregation of the Missionaries of St. Charles  Borromeo,Scalabrians   a.k.a. Congregation of the Missionaries of St. Charles  Borromeo,,,,,,Svalbard and Jan Mayen Islands,,Guan,Scalabrians   a.k.a. Congregation of the Missionaries of St. Charles  Borromeo,Scalabrians   a.k.a. Congregation of the Missionaries of St. Charles  Borromeo,,,,,Obstruct passage to demand rights,,,,,,,,,,,South Korea,,,,,,,,South Korea,,,,,,,,South Korea,,,,,,,
,,,,,,,Swaziland,,Gwich'in,School Sisters of Notre Dame,School Sisters of Notre Dame,,,,,,Swaziland,,Gwich'in,School Sisters of Notre Dame,School Sisters of Notre Dame,,,,,"Obstruct passage to demand change in institutions, regime",,,,,,,,,,,South Sudan,,,,,,,,South Sudan,,,,,,,,South Sudan,,,,,,,
,,,,,,,Sweden,,Hadjerai,"Servites   a.k.a. Order of Friars, Servants of  Mary","Servites   a.k.a. Order of Friars, Servants of  Mary",,,,,,Sweden,,Hadjerai,"Servites   a.k.a. Order of Friars, Servants of  Mary","Servites   a.k.a. Order of Friars, Servants of  Mary",,,,,"Protest violently, riot",,,,,,,,,,,Spain,,,,,,,,Spain,,,,,,,,Spain,,,,,,,
,,,,,,,Switzerland,,Haida,Sisters of Charity,Sisters of Charity,,,,,,Switzerland,,Haida,Sisters of Charity,Sisters of Charity,,,,,Engage in violent protest for leadership change  ,,,,,,,,,,,Spratly Islands,,,,,,,,Spratly Islands,,,,,,,,Spratly Islands,,,,,,,
,,,,,,,Syria,,Harari,Sisters of Charity of the Blessed Virgin Mary,Sisters of Charity of the Blessed Virgin Mary,,,,,,Syria,,Harari,Sisters of Charity of the Blessed Virgin Mary,Sisters of Charity of the Blessed Virgin Mary,,,,,Engage in violent protest for policy change,,,,,,,,,,,Sri Lanka,,,,,,,,Sri Lanka,,,,,,,,Sri Lanka,,,,,,,
,,,,,,,Taiwan,,Haitian,Sisters of the Holy Names of Jesus and Mary,Sisters of the Holy Names of Jesus and Mary,,,,,,Taiwan,,Haitian,Sisters of the Holy Names of Jesus and Mary,Sisters of the Holy Names of Jesus and Mary,,,,,Engage in violent protest for rights,,,,,,,,,,,Sudan,,,,,,,,Sudan,,,,,,,,Sudan,,,,,,,
,,,,,,,Tajikistan,,Hausa,Sisters of Mercy or Religious Sisters of  Mercy,Sisters of Mercy or Religious Sisters of  Mercy,,,,,,Tajikistan,,Hausa,Sisters of Mercy or Religious Sisters of  Mercy,Sisters of Mercy or Religious Sisters of  Mercy,,,,,"Engage in violent protest for  change in institutions, regime",,,,,,,,,,,Suriname,,,,,,,,Suriname,,,,,,,,Suriname,,,,,,,
,,,,,,,Tanzania,,Hawaiian,Sisters of Notre Dame de Namur,Sisters of Notre Dame de Namur,,,,,,Tanzania,,Hawaiian,Sisters of Notre Dame de Namur,Sisters of Notre Dame de Namur,,,,,Exhibit force posture,,,,,,,,,,,Svalbard,,,,,,,,Svalbard,,,,,,,,Svalbard,,,,,,,
,,,,,,,Thailand,,Hazara,Sisters of Our Lady of  Mercy,Sisters of Our Lady of  Mercy,,,,,,Thailand,,Hazara,Sisters of Our Lady of  Mercy,Sisters of Our Lady of  Mercy,,,,,Demonstrate military or police power,,,,,,,,,,,Swaziland,,,,,,,,Swaziland,,,,,,,,Swaziland,,,,,,,
,,,,,,,Togo,,Herero,Sisters of St Joseph,Sisters of St Joseph,,,,,,Togo,,Herero,Sisters of St Joseph,Sisters of St Joseph,,,,,Increase police alert status,,,,,,,,,,,Sweden,,,,,,,,Sweden,,,,,,,,Sweden,,,,,,,
,,,,,,,Tokelau,,Hill Tribes,Sisters of St Joseph of the Sacred Heart,Sisters of St Joseph of the Sacred Heart,,,,,,Tokelau,,Hill Tribes,Sisters of St Joseph of the Sacred Heart,Sisters of St Joseph of the Sacred Heart,,,,,Increase military alert status,,,,,,,,,,,Switzerland,,,,,,,,Switzerland,,,,,,,,Switzerland,,,,,,,
,,,,,,,Tonga,,Hiligayon,Society of the Precious Blood   a.k.a. Precious Blood  Fathers,Society of the Precious Blood   a.k.a. Precious Blood  Fathers,,,,,,Tonga,,Hiligayon,Society of the Precious Blood   a.k.a. Precious Blood  Fathers,Society of the Precious Blood   a.k.a. Precious Blood  Fathers,,,,,Mobilize or increase police power,,,,,,,,,,,Syria,,,,,,,,Syria,,,,,,,,Syria,,,,,,,
,,,,,,,Trinidad and Tobago,,Himachali,Spiritans or Holy Ghost Fathers   a.k.a. Congregation of the Holy  Ghost,Spiritans or Holy Ghost Fathers   a.k.a. Congregation of the Holy  Ghost,,,,,,Trinidad and Tobago,,Himachali,Spiritans or Holy Ghost Fathers   a.k.a. Congregation of the Holy  Ghost,Spiritans or Holy Ghost Fathers   a.k.a. Congregation of the Holy  Ghost,,,,,Mobilize or increase armed forces ,,,,,,,,,,,Taiwan,,,,,,,,Taiwan,,,,,,,,Taiwan,,,,,,,
,,,,,,,Tunisia,,Hindu,Stigmatines    a.k.a.  Congregation of the Sacred Stigmata,Stigmatines    a.k.a.  Congregation of the Sacred Stigmata,,,,,,Tunisia,,Hindu,Stigmatines    a.k.a.  Congregation of the Sacred Stigmata,Stigmatines    a.k.a.  Congregation of the Sacred Stigmata,,,,,Reduce relations,,,,,,,,,,,Tajikistan,,,,,,,,Tajikistan,,,,,,,,Tajikistan,,,,,,,
,,,,,,,Turkey,,Hasidic,Sulpician Fathers   a.k.a. Society of Saint Sulpice,Sulpician Fathers   a.k.a. Society of Saint Sulpice,,,,,,Turkey,,Hasidic,Sulpician Fathers   a.k.a. Society of Saint Sulpice,Sulpician Fathers   a.k.a. Society of Saint Sulpice,,,,,Reduce or break diplomatic relations,,,,,,,,,,,Tanzania,,,,,,,,Tanzania,,,,,,,,Tanzania,,,,,,,
,,,,,,,Turkmenistan,,Hmong,Theatines   a.k.a. Congregation of Clerics  Regular,Theatines   a.k.a. Congregation of Clerics  Regular,,,,,,Turkmenistan,,Hmong,Theatines   a.k.a. Congregation of Clerics  Regular,Theatines   a.k.a. Congregation of Clerics  Regular,,,,,Reduce or stop aid,,,,,,,,,,,Thailand,,,,,,,,Thailand,,,,,,,,Thailand,,,,,,,
